recommendation_id,recommendation_type,subject_type,subject_code,subject_name,recommendation,priority,expected_benefit,confidence_score,generated_from,rule_or_model,recommendation_timestamp,status,remarks
REC-FRD-000001,Investigation,CASE,CASE-000001,Case-000001,Assign to SIU Immediately,Critical,Reduce fraud loss,0.99,Fraud Risk,RULE-FRD-001,2026-07-01,Active,
REC-FRD-000002,Identity,CASE,CASE-000002,Case-000002,Perform Secondary Identity Verification,High,Improve identity confidence,0.96,Identity Analysis,RULE-FRD-002,2026-07-01,Active,
REC-FRD-000003,Document,CASE,CASE-000003,Case-000003,Verify Original Documents,High,Detect document fraud,0.95,OCR Analysis,RULE-FRD-003,2026-07-01,Active,
REC-FRD-000004,Repair,CASE,CASE-000004,Case-000004,Reassess Repair Estimate,Medium,Reduce inflated settlements,0.93,Repair Analytics,RULE-FRD-004,2026-07-01,Active,
REC-FRD-000005,Evidence,CASE,CASE-000005,Case-000005,Collect Additional Evidence,High,Strengthen investigation,0.95,Evidence Analysis,RULE-FRD-005,2026-07-01,Active,
REC-FRD-000006,Network,CASE,CASE-000006,Case-000006,Analyze Connected Entities,Critical,Identify fraud rings,0.98,Graph Analytics,RULE-FRD-006,2026-07-01,Active,
REC-FRD-000007,Legal,CASE,CASE-000007,Case-000007,Initiate Legal Review,Medium,Support prosecution,0.92,Legal Analysis,RULE-FRD-007,2026-07-01,Active,
REC-FRD-000008,Financial,CASE,CASE-000008,Case-000008,Freeze Payment Until Review,High,Prevent fraudulent payout,0.96,Combined Intelligence,RULE-FRD-008,2026-07-01,Active,
REC-FRD-000009,Recovery,CASE,CASE-000009,Case-000009,Initiate Recovery Proceedings,Medium,Recover insurer losses,0.91,Recovery Analytics,RULE-FRD-009,2026-07-01,Active,
REC-FRD-000010,Customer,CASE,CASE-000010,Case-000010,Conduct Customer Interview,Medium,Clarify inconsistencies,0.90,Behavior Analysis,RULE-FRD-010,2026-07-01,Active,
REC-FRD-000011,Operations,CASE,CASE-000011,Case-000011,Escalate to Senior Investigator,High,Improve investigation quality,0.94,Case Complexity,RULE-FRD-011,2026-07-01,Active,
REC-FRD-000012,Automation,CASE,CASE-000012,Case-000012,Run Advanced Fraud Models,Medium,Improve detection accuracy,0.93,Fraud Engine,RULE-FRD-012,2026-07-01,Active,
REC-FRD-000013,Audit,CASE,CASE-000013,Case-000013,Perform Internal Audit Review,Medium,Detect insider fraud,0.91,Audit Analytics,RULE-FRD-013,2026-07-01,Active,
REC-FRD-000014,Monitoring,CASE,CASE-000014,Case-000014,Monitor Related Claims,Medium,Detect future fraud,0.90,Relationship Analysis,RULE-FRD-014,2026-07-01,Active,
REC-FRD-000015,Closure,CASE,CASE-000015,Case-000015,Prepare Fraud Closure Report,Low,Knowledge retention,0.89,Combined Intelligence,RULE-FRD-015,2026-07-01,Active,
