intelligence_id,intelligence_type,subject_type,subject_code,subject_name,attribute,score,level,confidence_score,derived_from,model_id,valid_from,valid_to,status,remarks
INT-FRD-RISK-000001,RISK,CASE,CASE-000001,Case-000001,Overall Fraud Risk,92,Critical,0.99,Combined Fraud Signals,MODEL-FRD-RISK-001,2026-07-01,2026-07-31,Active,
INT-FRD-RISK-000002,RISK,CASE,CASE-000002,Case-000002,Identity Fraud Risk,71,High,0.96,Identity Analysis,MODEL-FRD-RISK-001,2026-07-01,2026-07-31,Active,
INT-FRD-RISK-000003,RISK,CASE,CASE-000003,Case-000003,Document Fraud Risk,64,Medium,0.95,OCR Verification,MODEL-FRD-RISK-002,2026-07-01,2026-07-31,Active,
INT-FRD-RISK-000004,RISK,CASE,CASE-000004,Case-000004,Claim Inflation Risk,83,High,0.97,Claim Analytics,MODEL-FRD-RISK-002,2026-07-01,2026-07-31,Active,
INT-FRD-RISK-000005,RISK,CASE,CASE-000005,Case-000005,Repair Fraud Risk,68,Medium,0.94,Repair Analytics,MODEL-FRD-RISK-003,2026-07-01,2026-07-31,Active,
INT-FRD-RISK-000006,RISK,CASE,CASE-000006,Case-000006,Fraud Ring Risk,89,Critical,0.98,Graph Analytics,MODEL-FRD-RISK-003,2026-07-01,2026-07-31,Active,
INT-FRD-RISK-000007,RISK,CASE,CASE-000007,Case-000007,Synthetic Identity Risk,58,Medium,0.92,Identity Engine,MODEL-FRD-RISK-004,2026-07-01,2026-07-31,Active,
INT-FRD-RISK-000008,RISK,CASE,CASE-000008,Case-000008,Policy Abuse Risk,61,Medium,0.91,Policy Analytics,MODEL-FRD-RISK-004,2026-07-01,2026-07-31,Active,
INT-FRD-RISK-000009,RISK,CASE,CASE-000009,Case-000009,Payment Fraud Risk,76,High,0.95,Payment Analytics,MODEL-FRD-RISK-005,2026-07-01,2026-07-31,Active,
INT-FRD-RISK-000010,RISK,CASE,CASE-000010,Case-000010,Network Fraud Risk,87,Critical,0.98,Entity Graph,MODEL-FRD-RISK-005,2026-07-01,2026-07-31,Active,
INT-FRD-RISK-000011,RISK,CASE,CASE-000011,Case-000011,Recovery Fraud Risk,46,Low,0.89,Recovery Analysis,MODEL-FRD-RISK-006,2026-07-01,2026-07-31,Active,
INT-FRD-RISK-000012,RISK,CASE,CASE-000012,Case-000012,Insider Fraud Risk,54,Medium,0.91,Internal Audit,MODEL-FRD-RISK-006,2026-07-01,2026-07-31,Active,
INT-FRD-RISK-000013,RISK,CASE,CASE-000013,Case-000013,Collusion Risk,81,High,0.96,Relationship Analytics,MODEL-FRD-RISK-007,2026-07-01,2026-07-31,Active,
INT-FRD-RISK-000014,RISK,CASE,CASE-000014,Case-000014,Repeat Offender Risk,74,High,0.94,Historical Cases,MODEL-FRD-RISK-007,2026-07-01,2026-07-31,Active,
INT-FRD-RISK-000015,RISK,CASE,CASE-000015,Case-000015,Financial Exposure Risk,79,High,0.95,Combined Intelligence,MODEL-FRD-RISK-008,2026-07-01,2026-07-31,Active,
