glossary_id,canonical_term,business_definition,domain,concept_category,semantic_class,lifecycle,parent_concept,derived_from,aliases,example,source,remarks
GLOSS-INS-000001,Insurance Product,A standardized insurance offering designed to provide financial protection against defined risks.,Insurance,Identity,Core,Stable,,,Insurance Plan,Private Car Comprehensive Policy,Business,Root business concept.
GLOSS-INS-000002,Insurance Product Identifier,A unique business identifier assigned to an insurance product.,Insurance,Identity,Core,Stable,Insurance Product,,Product ID,INS-100001,Platform,Primary business identifier.
GLOSS-INS-000003,Insurance Product Name,Official commercial name of the insurance product.,Insurance,Identity,Core,Stable,Insurance Product,,Product Name,Comprehensive Motor Insurance,Business,Displayed to customers.
GLOSS-INS-000004,Insurance Product Type,Classification of the insurance product.,Insurance,Classification,Core,Stable,Insurance Product,,Product Type,Motor Insurance,Business,References Policy Type Master.
GLOSS-INS-000005,Insurance Product Category,Business category of the insurance product.,Insurance,Classification,Core,Stable,Insurance Product,,Category,Private Car,Business,Supports recommendation.
GLOSS-INS-000006,Insurance Product Status,Current operational status of the insurance product.,Insurance,Operational,Derived,Dynamic,Insurance Product,Product Lifecycle Stage,,Active,Derived,Platform status.
GLOSS-INS-000007,Insurance Product Lifecycle Stage,Current lifecycle stage of the insurance product.,Insurance,Operational,Derived,Dynamic,Insurance Product,Launch Date,,Active Sale,Derived,Supports governance.
GLOSS-INS-000008,Insurance Product Version,Version identifier of the insurance product.,Insurance,Identity,Core,Stable,Insurance Product,,Product Version,1.0.0,Business,Supports versioning.
GLOSS-INS-000009,Insurance Product Description,Business description of the insurance product.,Insurance,Identity,Core,Dynamic,Insurance Product,,Description,Comprehensive protection for private cars.,Business,Customer-facing.
GLOSS-INS-000010,Insurance Product Summary,A concise summary describing the insurance product.,Insurance,Derived,Derived,Computed,Insurance Product,Insurance Product Description,,Summary,Comprehensive private car insurance.,Derived,Supports AI explanations.
GLOSS-INS-000011,Insurance Company,Licensed insurer offering insurance products.,Insurance,Identity,Core,Stable,Insurance Product,,Insurer,HDFC ERGO,Business,Parent concept.
GLOSS-INS-000012,Insurance Company Name,Official registered name of the insurer.,Insurance,Identity,Core,Stable,Insurance Company,,Company,HDFC ERGO General Insurance,Business,References Insurance Company Master.
GLOSS-INS-000013,Insurance Company Code,Unique identifier assigned to the insurance company.,Insurance,Identity,Core,Stable,Insurance Company,,Insurer Code,HDFCERGO,Business,Internal identifier.
GLOSS-INS-000014,Insurance Company Type,Classification of the insurer.,Insurance,Classification,Core,Stable,Insurance Company,,Company Type,Private,Business,Public/Private.
GLOSS-INS-000015,Insurance Company Rating,Independent financial strength or market rating assigned to the insurer.,Insurance,Assessment,Reference,Dynamic,Insurance Company,,Rating,A+,External,Supports recommendation.
GLOSS-INS-000016,Claim Settlement Ratio,Percentage of claims settled by the insurer.,Insurance,Assessment,Reference,Dynamic,Insurance Company,,CSR,98.6%,IRDAI,Supports comparison.
GLOSS-INS-000017,Network Garage Count,Number of authorized network garages associated with the insurer.,Insurance,Operational,Reference,Dynamic,Insurance Company,,Garages,5200,Business,Supports servicing.
GLOSS-INS-000018,Customer Service Rating,Overall customer service rating of the insurer.,Insurance,Assessment,Reference,Dynamic,Insurance Company,,Service Rating,4.6/5,External,Supports ranking.
GLOSS-INS-000019,Digital Claim Support,Indicates whether digital claim processing is supported.,Insurance,Operational,Reference,Dynamic,Insurance Company,,Digital Claims,True,Business,Supports recommendation.
GLOSS-INS-000020,Cashless Repair Network,Availability of cashless repair services through network garages.,Insurance,Operational,Reference,Dynamic,Insurance Company,,Cashless Repair,Available,Business,Customer benefit.
GLOSS-INS-000021,Policy Structure,Represents the contractual structure of an insurance product.,Insurance,Identity,Core,Stable,Insurance Product,,Policy Design,Comprehensive Policy,Business,Parent concept.
