schema_id,entity_id,attribute_name,business_definition,data_type,required,derived,derived_from,default_value,validation_rule,reference_catalog,collection_source,privacy_class,example_value,ai_importance,remarks
SCH-INS-000001,ENT-INS-000001,insurance_product_identifier,Unique business identifier assigned to the insurance product.,Identifier,Yes,No,,,Required;Unique,,Internal System,Internal,INS-100001,Critical,
SCH-INS-000002,ENT-INS-000001,insurance_product_name,Official commercial name of the insurance product.,String,Yes,No,,,Required,,Insurance Company,Public,Comprehensive Motor Insurance,Critical,
SCH-INS-000003,ENT-INS-000001,insurance_product_type,Classification of the insurance product.,Enumeration,Yes,No,,,Reference Integrity,Policy Type Master,Insurance Company,Internal,Motor Insurance,Critical,
SCH-INS-000004,ENT-INS-000001,insurance_product_category,Business category of the insurance product.,Enumeration,Yes,No,,,Reference Integrity,Product Category Master,Insurance Company,Internal,Private Car,High,
SCH-INS-000005,ENT-INS-000001,insurance_product_status,Current operational status of the product.,Enumeration,Yes,Yes,product_lifecycle_status,,Reference Integrity,Workflow Status Master,Derived,Internal,Active,High,
SCH-INS-000006,ENT-INS-000001,insurance_product_version,Current version of the insurance product.,String,Yes,No,,,Required,,Internal System,Internal,1.0.0,Medium,
SCH-INS-000007,ENT-INS-000001,insurance_product_description,Business description of the insurance product.,Text,Yes,No,,,,,Insurance Company,Public,Comprehensive protection for private cars.,Medium,
SCH-INS-000008,ENT-INS-000001,insurance_product_summary,Concise summary of the insurance product.,Text,Yes,Yes,insurance_product_description,,Domain Constraint,,Derived,Public,Comprehensive private car insurance.,Medium,
SCH-INS-000009,ENT-INS-000002,insurance_company_name,Official registered name of the insurer.,String,Yes,No,,,Required,Insurance Company Master,Insurance Company,Public,HDFC ERGO General Insurance,Critical,
SCH-INS-000010,ENT-INS-000002,insurance_company_code,Internal identifier assigned to the insurer.,String,Yes,No,,,Required;Unique,Insurance Company Master,Insurance Company,Internal,HDFCERGO,Critical,
SCH-INS-000011,ENT-INS-000002,insurance_company_type,Classification of the insurer.,Enumeration,Yes,No,,,Reference Integrity,Insurance Company Type Master,Insurance Company,Internal,Private,High,
SCH-INS-000012,ENT-INS-000002,insurance_company_rating,Independent rating assigned to the insurer.,Decimal,No,No,,,Value Range,,External Agency,Public,4.8,High,
SCH-INS-000013,ENT-INS-000002,claim_settlement_ratio,Percentage of claims settled by the insurer.,Decimal,No,No,,,Percentage Range,,IRDAI,Public,98.60,Critical,
SCH-INS-000014,ENT-INS-000002,network_garage_count,Number of authorized network garages.,Integer,No,No,,,Non-negative Number,,Insurance Company,Public,5200,High,
SCH-INS-000015,ENT-INS-000002,customer_service_rating,Overall customer service rating.,Decimal,No,No,,,Value Range,,External Agency,Public,4.60,Medium,
SCH-INS-000016,ENT-INS-000002,digital_claim_support,Indicates whether digital claim processing is supported.,Boolean,Yes,No,,,,,Insurance Company,Public,True,Medium,
