schema_id,entity_id,attribute_name,business_definition,data_type,required,derived,derived_from,default_value,validation_rule,reference_catalog,collection_source,privacy_class,example_value,ai_importance,remarks
SCH-COV-000001,ENT-COV-000001,coverage_identifier,Unique business identifier assigned to the canonical coverage.,Identifier,Yes,No,,,Required;Unique,,Internal System,Internal,COV-100001,Critical,
SCH-COV-000002,ENT-COV-000001,coverage_name,Official business name of the coverage.,String,Yes,No,,,Required,,Business,Public,Own Damage,Critical,
SCH-COV-000003,ENT-COV-000001,coverage_category,Classification of the coverage.,Enumeration,Yes,No,,,Reference Integrity,Coverage Category Master,Business,Internal,Vehicle Damage,Critical,
SCH-COV-000004,ENT-COV-000001,coverage_type,Business classification of the coverage.,Enumeration,Yes,No,,,Reference Integrity,Coverage Type Master,Business,Internal,Base Coverage,High,
SCH-COV-000005,ENT-COV-000001,coverage_status,Operational status of the coverage.,Enumeration,Yes,Yes,lifecycle_status,,Reference Integrity,Workflow Status Master,Derived,Internal,Active,High,
SCH-COV-000006,ENT-COV-000001,coverage_version,Current version of the canonical coverage.,String,Yes,No,,,Required,,Internal System,Internal,1.0.0,Medium,
SCH-COV-000007,ENT-COV-000001,coverage_description,Detailed business description of the coverage.,Text,Yes,No,,,,,Business,Public,Covers accidental damage to the insured vehicle.,High,
SCH-COV-000008,ENT-COV-000001,coverage_summary,Simplified explanation of the coverage.,Text,Yes,Yes,coverage_description,,Domain Constraint,,Derived,Public,Protection against accidental damage.,Medium,
SCH-COV-000009,ENT-COV-000002,benefit_name,Official name of the coverage benefit.,String,Yes,No,,,Required,,Business,Public,Vehicle Repair,Critical,
SCH-COV-000010,ENT-COV-000002,benefit_description,Detailed explanation of the benefit.,Text,Yes,No,,,,,Business,Public,Repairs accidental vehicle damage.,Medium,
SCH-COV-000011,ENT-COV-000002,financial_benefit,Financial compensation provided by the benefit.,String,No,No,,,,,Business,Internal,Repair Cost Covered,High,
SCH-COV-000012,ENT-COV-000002,service_benefit,Service assistance delivered by the benefit.,String,No,No,,,,,Business,Internal,Roadside Assistance,High,
SCH-COV-000013,ENT-COV-000002,benefit_trigger,Business event activating the benefit.,Enumeration,Yes,No,,,Reference Integrity,Claim Event Master,Business,Internal,Accident,High,
SCH-COV-000014,ENT-COV-000002,benefit_recipient,Recipient of the benefit.,Enumeration,Yes,No,,,Reference Integrity,Beneficiary Master,Business,Internal,Policyholder,Medium,
SCH-COV-000015,ENT-COV-000002,benefit_priority,Business priority assigned to the benefit.,Enumeration,Yes,Yes,benefit_category,,Reference Integrity,Priority Master,Derived,Internal,Primary,Medium,
SCH-COV-000016,ENT-COV-000002,benefit_summary,Simplified explanation of the benefit.,Text,Yes,Yes,benefit_description,,Domain Constraint,,Derived,Public,Repairs accidental damage.,Medium,
SCH-COV-000017,ENT-COV-000003,limit_type,Classification of coverage limit.,Enumeration,Yes,No,,,Reference Integrity,Limit Type Master,Business,Internal,Financial,Critical,
SCH-COV-000018,ENT-COV-000003,maximum_claim_amount,Maximum payable amount under the coverage.,Decimal,Yes,No,,,Positive Number,,Business,Internal,1000000,Critical,
SCH-COV-000019,ENT-COV-000003,aggregate_limit,Maximum cumulative payout during policy duration.,Decimal,No,No,,,Positive Number,,Business,Internal,1500000,High,
SCH-COV-000020,ENT-COV-000003,per_event_limit,Maximum payable amount for a single insured event.,Decimal,No,No,,,Positive Number,,Business,Internal,500000,High,
SCH-COV-000021,ENT-COV-000003,sub_limit,Benefit-specific financial limit.,Decimal,No,No,,,Positive Number,,Business,Internal,25000,Medium,
SCH-COV-000022,ENT-COV-000003,unlimited_coverage,Indicates whether no upper financial limit exists.,Boolean,Yes,No,,,,,Business,Internal,False,Medium,
SCH-COV-000023,ENT-COV-000003,limit_applicability,Business rule defining applicability of financial limits.,Text,Yes,No,,,,,Business,Internal,Own Damage Claims,Medium,
SCH-COV-000024,ENT-COV-000003,remaining_coverage_limit,Remaining unused financial protection.,Decimal,Yes,Yes,claim_history,,Positive Number,,Derived,Internal,700000,High,
