schema_id,entity_id,attribute_name,business_definition,data_type,required,derived,derived_from,default_value,validation_rule,reference_catalog,collection_source,privacy_class,example_value,ai_importance,remarks
SCH-CUST-000001,ENT-CUST-000001,customer_identifier,A unique business identifier assigned to the customer.,Identifier,Yes,No,,,Required;Unique,,Internal System,Personal,CUS-100001,Critical,Primary business identifier.
SCH-CUST-000002,ENT-CUST-000001,customer_type,Classification of the customer.,Enumeration,Yes,No,,,Reference Integrity,Customer Type Master,User Input,Public,Individual,High,
SCH-CUST-000003,ENT-CUST-000001,customer_status,Current operational status of the customer.,Enumeration,Yes,Yes,Customer Lifecycle Stage,,Domain Constraint,,Derived,Internal,Active,Medium,
SCH-CUST-000004,ENT-CUST-000001,registration_date,Date on which the customer registered with the platform.,Date,Yes,No,,,ISO Date,,Internal System,Internal,2026-07-01,Low,
SCH-CUST-000005,ENT-CUST-000001,account_creation_source,Channel through which the customer account was created.,String,Yes,No,,,Required,,Internal System,Internal,Mobile App,Low,
SCH-CUST-000006,ENT-CUST-000002,title,Honorific used by the customer.,String,No,No,,,,,User Input,Personal,Mr.,Low,
SCH-CUST-000007,ENT-CUST-000002,first_name,Given name of the customer.,String,Yes,No,,,Required,,User Input,Personal,Rahul,High,
SCH-CUST-000008,ENT-CUST-000002,middle_name,Middle name of the customer.,String,No,No,,,,,User Input,Personal,Kumar,Low,
SCH-CUST-000009,ENT-CUST-000002,last_name,Family name of the customer.,String,Yes,No,,,Required,,User Input,Personal,Sharma,High,
SCH-CUST-000010,ENT-CUST-000002,full_name,Complete legal name of the customer.,String,Yes,Yes,first_name;middle_name;last_name,,Domain Constraint,,Derived,Personal,Rahul Kumar Sharma,High,
SCH-CUST-000011,ENT-CUST-000002,date_of_birth,Official date of birth of the customer.,Date,Yes,No,,,ISO Date,,User Input,Sensitive Personal,1995-06-14,Critical,
SCH-CUST-000012,ENT-CUST-000002,age,Current age of the customer.,Integer,Yes,Yes,date_of_birth,,Positive Number,,Derived,Internal,31,High,
SCH-CUST-000013,ENT-CUST-000002,gender,Gender of the customer.,Enumeration,Yes,No,,,Reference Integrity,Gender Master,User Input,Personal,Male,Medium,
SCH-CUST-000014,ENT-CUST-000002,marital_status,Current marital status of the customer.,Enumeration,No,No,,,Reference Integrity,Marital Status Master,User Input,Personal,Married,Low,
SCH-CUST-000015,ENT-CUST-000002,nationality,Nationality of the customer.,Enumeration,Yes,No,,,Reference Integrity,Country Master,User Input,Personal,Indian,Medium,
SCH-CUST-000016,ENT-CUST-000002,residential_status,Residential classification of the customer.,String,No,No,,,,,User Input,Internal,Resident,Low,
SCH-CUST-000017,ENT-CUST-000002,preferred_name,Preferred name used for communication.,String,No,No,,,,,User Input,Personal,Rahul,Low,
SCH-CUST-000018,ENT-CUST-000003,mobile_number,Primary mobile contact number of the customer.,String,Yes,No,,,Indian Mobile Number,,User Input,Sensitive Personal,+919876543210,Critical,
SCH-CUST-000019,ENT-CUST-000003,alternate_mobile_number,Secondary mobile contact number.,String,No,No,,,Indian Mobile Number,,User Input,Personal,+919812345678,Low,
SCH-CUST-000020,ENT-CUST-000003,email_address,Primary email address of the customer.,String,Yes,No,,,Valid Email,,User Input,Personal,rahul@example.com,High,
SCH-CUST-000021,ENT-CUST-000003,alternate_email_address,Secondary email address of the customer.,String,No,No,,,Valid Email,,User Input,Personal,rahul.work@example.com,Low,
SCH-CUST-000022,ENT-CUST-000003,preferred_contact_method,Preferred method for contacting the customer.,Enumeration,No,No,,,Reference Integrity,Contact Method Master,User Input,Internal,Mobile,Medium,
SCH-CUST-000023,ENT-CUST-000003,preferred_contact_time,Preferred time window for contacting the customer.,String,No,No,,,,,User Input,Internal,Evening,Low,
SCH-CUST-000024,ENT-CUST-000003,email_verification_status,Indicates whether the customer's email address has been verified.,Boolean,Yes,Yes,email_address,,Domain Constraint,,Derived,Internal,True,Medium,
SCH-CUST-000025,ENT-CUST-000003,mobile_verification_status,Indicates whether the customer's mobile number has been verified.,Boolean,Yes,Yes,mobile_number,,Domain Constraint,,Derived,Internal,True,Medium,
SCH-CUST-000026,ENT-CUST-000003,emergency_contact_name,Name of the emergency contact person.,String,No,No,,,,,User Input,Personal,Amit Sharma,Low,
SCH-CUST-000027,ENT-CUST-000003,emergency_contact_number,Mobile number of the emergency contact person.,String,No,No,,,Indian Mobile Number,,User Input,Personal,+919811112222,Low
SCH-CUST-000028,ENT-CUST-000004,residential_address,Primary residential address of the customer.,Object,Yes,No,,,Required,,User Input,Personal,"Flat 201, Sunrise Residency",Medium,Primary residential address.
SCH-CUST-000029,ENT-CUST-000004,address_line_1,Primary street address.,String,Yes,No,,,Required,,User Input,Personal,Flat 201,Low,
SCH-CUST-000030,ENT-CUST-000004,address_line_2,Additional address information.,String,No,No,,,,,User Input,Personal,Sunrise Residency,Low,
SCH-CUST-000031,ENT-CUST-000004,city,City associated with the address.,Enumeration,Yes,No,,,Reference Integrity,City Master,User Input,Personal,Pune,Medium,
SCH-CUST-000032,ENT-CUST-000004,district,District associated with the address.,Enumeration,Yes,No,,,Reference Integrity,District Master,User Input,Personal,Pune,Low,
SCH-CUST-000033,ENT-CUST-000004,state,State or union territory associated with the address.,Enumeration,Yes,No,,,Reference Integrity,State Master,User Input,Personal,Maharashtra,Medium,
SCH-CUST-000034,ENT-CUST-000004,country,Country associated with the address.,Enumeration,Yes,No,,,Reference Integrity,Country Master,User Input,Personal,India,Low,
SCH-CUST-000035,ENT-CUST-000004,postal_code,Postal code of the address.,String,Yes,No,,,Required,Postal Code Master,User Input,Personal,411001,Medium,
SCH-CUST-000036,ENT-CUST-000004,address_type,Classification of the address.,Enumeration,Yes,No,,,Reference Integrity,Address Type Master,User Input,Internal,Permanent,Low,
SCH-CUST-000037,ENT-CUST-000004,residence_ownership,Ownership status of the residence.,Enumeration,No,No,,,Reference Integrity,Ownership Type Master,User Input,Internal,Owned,Medium,
SCH-CUST-000038,ENT-CUST-000005,education_level,Highest education level completed by the customer.,Enumeration,No,No,,,Reference Integrity,Education Level Master,User Input,Personal,Bachelor's Degree,Medium,
SCH-CUST-000039,ENT-CUST-000005,primary_language,Primary language spoken by the customer.,Enumeration,No,No,,,Reference Integrity,Language Master,User Input,Personal,Hindi,Medium,
SCH-CUST-000040,ENT-CUST-000005,secondary_language,Secondary language spoken by the customer.,Enumeration,No,No,,,Reference Integrity,Language Master,User Input,Personal,English,Low,
SCH-CUST-000041,ENT-CUST-000005,family_size,Total number of people in the customer's household.,Integer,No,No,,,Positive Number,,User Input,Internal,4,Medium,
SCH-CUST-000042,ENT-CUST-000005,number_of_dependents,Number of financially dependent individuals.,Integer,No,No,,,Non-negative Number,,User Input,Internal,2,Medium,
SCH-CUST-000043,ENT-CUST-000005,residential_stability,Residential stability classification.,Enumeration,No,Yes,residence_ownership,,Reference Integrity,Score Band Master,Derived,Internal,High,Medium,
SCH-CUST-000044,ENT-CUST-000005,citizenship_status,Legal citizenship status of the customer.,String,No,No,,,,,User Input,Personal,Indian Citizen,Low,
SCH-CUST-000045,ENT-CUST-000005,occupation,Primary occupation of the customer.,Enumeration,No,No,,,Reference Integrity,Occupation Master,User Input,Personal,Software Engineer,High,
SCH-CUST-000046,ENT-CUST-000005,employment_status,Current employment status.,Enumeration,No,No,,,Reference Integrity,Employment Status Master,User Input,Personal,Employed,Medium,
SCH-CUST-000047,ENT-CUST-000005,employer_name,Name of the employer.,String,No,No,,,,,User Input,Personal,TCS,Low,
SCH-CUST-000048,ENT-CUST-000005,industry_sector,Industry sector in which the customer is employed.,Enumeration,No,No,,,Reference Integrity,Industry Sector Master,User Input,Internal,Information Technology,Medium,
SCH-CUST-000049,ENT-CUST-000005,annual_income,Estimated annual income of the customer.,Decimal,No,No,,,Positive Number,,User Input,Sensitive Personal,1200000,High,
SCH-CUST-000050,ENT-CUST-000005,income_range,Categorized annual income range.,Enumeration,No,Yes,annual_income,,Reference Integrity,Income Range Master,Derived,Internal,10-15 Lakhs,Medium,
SCH-CUST-000051,ENT-CUST-000005,income_stability,Assessment of income stability.,Enumeration,No,Yes,employment_status;annual_income,,Reference Integrity,Score Band Master,Derived,Internal,High,High,
SCH-CUST-000052,ENT-CUST-000005,credit_profile,Overall credit standing of the customer.,Enumeration,No,No,,,Reference Integrity,Score Band Master,External Partner,Sensitive Personal,Good,High,
SCH-CUST-000053,ENT-CUST-000005,affordability_level,Assessment of the customer's affordability.,Enumeration,No,Yes,annual_income;income_stability,,Reference Integrity,Score Band Master,Derived,Internal,High,High,
SCH-CUST-000054,ENT-CUST-000005,financial_risk_category,Financial risk classification.,Enumeration,No,Yes,income_stability;credit_profile,,Reference Integrity,Score Band Master,AI Generated,Internal,Low Risk,High,
SCH-CUST-000055,ENT-CUST-000006,preferred_insurance_company,Preferred insurance company.,Enumeration,No,No,,,Reference Integrity,Insurance Company Master,User Input,Internal,HDFC ERGO,High,
SCH-CUST-000056,ENT-CUST-000006,preferred_policy_type,Preferred insurance policy type.,Enumeration,No,No,,,Reference Integrity,Policy Type Master,User Input,Internal,Comprehensive,High,
SCH-CUST-000057,ENT-CUST-000006,preferred_coverage_level,Preferred coverage level.,Enumeration,No,No,,,Reference Integrity,Coverage Type Master,User Input,Internal,High,High,
SCH-CUST-000058,ENT-CUST-000006,preferred_add_ons,Preferred policy add-ons.,Collection,No,No,,,Reference Integrity,Add-on Coverage Master,User Input,Internal,"Zero Depreciation,NCB Protection",High,
SCH-CUST-000059,ENT-CUST-000006,preferred_premium_range,Preferred premium budget.,Decimal,No,No,,,Positive Number,,User Input,Internal,18000,High,
SCH-CUST-000060,ENT-CUST-000006,risk_appetite,Customer's willingness to accept insurance risk.,Enumeration,No,No,,,Reference Integrity,Risk Appetite Master,User Input,Internal,Moderate,High,
SCH-CUST-000061,ENT-CUST-000006,claim_preference,Preferred claim servicing approach.,String,No,No,,,,,User Input,Internal,Cashless Repairs,Medium,
SCH-CUST-000062,ENT-CUST-000006,preferred_repair_network,Preferred repair garage network.,Enumeration,No,No,,,Reference Integrity,Garage Network Master,User Input,Internal,Authorized Garage,Medium,
SCH-CUST-000063,ENT-CUST-000006,policy_comparison_preference,Primary criterion for comparing policies.,String,No,No,,,,,User Input,Internal,Coverage,Medium,
SCH-CUST-000064,ENT-CUST-000006,recommendation_objective,Primary objective used for policy recommendation.,Enumeration,No,Yes,preferred_policy_type;preferred_coverage_level;preferred_premium_range,,Reference Integrity,Recommendation Objective Master,Derived,Internal,Best Value,Critical,
SCH-CUST-000065,ENT-CUST-000006,preferred_communication_channel,Preferred communication channel.,Enumeration,No,No,,,Reference Integrity,Communication Channel Master,User Input,Internal,WhatsApp,Medium,
SCH-CUST-000066,ENT-CUST-000006,preferred_notification_channel,Preferred notification channel.,Enumeration,No,No,,,Reference Integrity,Notification Channel Master,User Input,Internal,SMS,Low,
SCH-CUST-000067,ENT-CUST-000006,notification_frequency,Preferred notification frequency.,String,No,No,,,,,User Input,Internal,Monthly,Low,
SCH-CUST-000068,ENT-CUST-000006,preferred_communication_language,Preferred language for communication.,Enumeration,No,No,,,Reference Integrity,Language Master,User Input,Internal,English,Medium,
SCH-CUST-000069,ENT-CUST-000006,marketing_consent,Consent for marketing communication.,Boolean,Yes,No,,,,,User Input,Personal,True,Low,
SCH-CUST-000070,ENT-CUST-000006,communication_consent,Consent for operational communication.,Boolean,Yes,No,,,,,User Input,Personal,True,Low,
SCH-CUST-000071,ENT-CUST-000006,data_processing_consent,Consent for processing customer data.,Boolean,Yes,No,,,,,User Input,Sensitive Personal,True,Critical,
SCH-CUST-000072,ENT-CUST-000006,personalization_consent,Consent for AI-based personalization.,Boolean,Yes,No,,,,,User Input,Sensitive Personal,True,High,
SCH-CUST-000073,ENT-CUST-000007,kyc_completion_status,Indicates whether the customer's Know Your Customer requirements have been completed.,Boolean,Yes,Yes,kyc_status,,Domain Constraint,,Derived,Internal,True,Critical,
SCH-CUST-000074,ENT-CUST-000007,insurance_eligibility,Indicates whether the customer is eligible to purchase insurance products.,Boolean,Yes,Yes,kyc_completion_status,,Domain Constraint,,Derived,Internal,True,Critical,
SCH-CUST-000075,ENT-CUST-000007,regulatory_compliance_status,Represents whether applicable regulatory requirements have been satisfied.,Boolean,Yes,Yes,kyc_completion_status,,Domain Constraint,,Derived,Internal,True,High,
SCH-CUST-000076,ENT-CUST-000007,identity_verification_status,Represents the verification status of the customer's identity.,Boolean,Yes,Yes,kyc_completion_status,,Domain Constraint,,Derived,Internal,Verified,Critical,
SCH-CUST-000077,ENT-CUST-000007,contact_verification_status,Represents the verification status of the customer's contact information.,Boolean,Yes,Yes,email_verification_status;mobile_verification_status,,Domain Constraint,,Derived,Internal,Verified,High,
SCH-CUST-000078,ENT-CUST-000007,profile_completion_status,Represents the completeness of the customer's profile.,Enumeration,Yes,Yes,customer_identifier;first_name;mobile_number,,Reference Integrity,Workflow Status Master,Derived,Internal,Complete,High,
SCH-CUST-000079,ENT-CUST-000007,customer_verification_score,A composite score representing the completeness and reliability of customer verification.,Decimal,Yes,Yes,identity_verification_status;contact_verification_status,,Value Range,,AI Generated,Internal,96.50,High,
SCH-CUST-000080,ENT-CUST-000007,onboarding_status,Represents the current onboarding stage of the customer.,Enumeration,Yes,Yes,profile_completion_status,,Reference Integrity,Workflow Status Master,Derived,Internal,Completed,High,
SCH-CUST-000081,ENT-CUST-000008,customer_segment,Business segment assigned to the customer.,Enumeration,Yes,Yes,age;occupation;income_range,,Reference Integrity,Customer Segment Master,AI Generated,Internal,Urban Professional,High,
SCH-CUST-000082,ENT-CUST-000008,customer_persona,Behavioral persona assigned to the customer.,String,No,Yes,customer_segment;insurance_preferences,,Domain Constraint,,AI Generated,Internal,Value Seeker,Medium,
SCH-CUST-000083,ENT-CUST-000008,customer_risk_score,Composite insurance risk score assigned to the customer.,Decimal,Yes,Yes,financial_risk_category;insurance_eligibility,,Value Range,,AI Generated,Internal,82.40,Critical,
SCH-CUST-000084,ENT-CUST-000008,fraud_risk_score,Predicted likelihood of fraudulent customer behavior.,Decimal,No,Yes,customer_profile,,Value Range,,AI Generated,Confidential,12.30,High,
SCH-CUST-000085,ENT-CUST-000008,customer_trust_score,Composite trust score assigned to the customer.,Decimal,No,Yes,customer_verification_score,,Value Range,,AI Generated,Internal,91.20,High,
SCH-CUST-000086,ENT-CUST-000008,policy_purchase_readiness,Indicates whether sufficient information exists for policy purchase.,Boolean,Yes,Yes,insurance_eligibility;profile_completion_status,,Domain Constraint,,Derived,Internal,True,Critical,
SCH-CUST-000087,ENT-CUST-000008,recommendation_readiness,Indicates whether sufficient information exists to generate reliable recommendations.,Boolean,Yes,Yes,policy_purchase_readiness;recommendation_objective,,Domain Constraint,,Derived,Internal,True,Critical,
SCH-CUST-000088,ENT-CUST-000008,customer_lifetime_value,Predicted long-term business value of the customer.,Decimal,No,Yes,customer_segment;annual_income,,Positive Number,,AI Generated,Confidential,450000.00,Medium,
SCH-CUST-000089,ENT-CUST-000008,customer_retention_risk,Predicted likelihood that the customer may discontinue using the platform.,Decimal,No,Yes,customer_engagement,,Value Range,,AI Generated,Internal,18.60,Medium,
SCH-CUST-000090,ENT-CUST-000008,recommendation_confidence,Confidence score associated with the generated recommendation.,Decimal,Yes,Yes,recommendation_engine,,Percentage Range,,AI Generated,Internal,94.80,High,
SCH-CUST-000091,ENT-CUST-000008,next_best_action,Recommended next business action for the customer.,String,No,Yes,recommendation_engine,,Domain Constraint,,AI Generated,Internal,Recommend Comprehensive Policy,High,
SCH-CUST-000092,ENT-CUST-000008,last_assessment_date,Date on which the latest customer assessment was generated.,DateTime,Yes,Yes,assessment_pipeline,,ISO DateTime,,Internal System,Internal,2026-07-01T10:30:00,Low,
SCH-CUST-000093,ENT-CUST-000008,assessment_version,Version of the assessment methodology used to generate customer assessments.,String,Yes,No,,,Required,,Internal System,Internal,1.0.0,Low,
SCH-CUST-000094,ENT-CUST-000008,assessment_remarks,Additional remarks associated with the customer assessment.,String,No,No,,,,,Internal System,Internal,Eligible for premium recommendations.,Low,
