glossary_id,canonical_term,business_definition,domain,concept_category,semantic_class,lifecycle,parent_concept,derived_from,aliases,example,source,remarks
GLOSS-CUST-000001,Customer,A person or organization seeking or holding insurance products through the InsureAI platform.,Customer,Identity,Core,Stable,,,Policyholder;Client,Rahul Sharma,Business,Root business concept.
GLOSS-CUST-000002,Customer Identifier,A unique business identifier assigned to a customer.,Customer,Identity,Core,Stable,Customer,,Customer ID,CUS-100001,Internal System,Primary customer identifier.
GLOSS-CUST-000003,Customer Type,The classification of a customer based on legal or business identity.,Customer,Classification,Core,Stable,Customer,,Customer Category,Individual,Business,Examples include Individual and Organization.
GLOSS-CUST-000004,Customer Status,The current business status of a customer within the platform.,Customer,Operational,Derived,Dynamic,Customer,Customer Lifecycle Status,,Active,Derived,Computed from lifecycle events.
GLOSS-CUST-000005,Customer Lifecycle Stage,The current stage of the customer's relationship with the platform.,Customer,Operational,Derived,Dynamic,Customer,Registration Date,,Prospect,Derived,Examples include Prospect, Active, Inactive.
GLOSS-CUST-000006,Registration Date,The date on which the customer registered with the platform.,Customer,Identity,Core,Stable,Customer,,Enrollment Date,2026-07-01,Internal System,Platform registration date.
GLOSS-CUST-000007,Account Creation Source,The channel through which the customer account was created.,Customer,Operational,User Provided,Stable,Customer,,Registration Channel,Mobile App,User Input,Supports analytics.
GLOSS-CUST-000008,KYC Status,The verification status of the customer's Know Your Customer process.,Customer,Regulatory,Derived,Dynamic,Customer,KYC Documents,,Verified,Derived,Compliance indicator.
GLOSS-CUST-000009,Customer Since,The duration of the customer's relationship with the platform.,Customer,Derived,Derived,Computed,Customer,Registration Date,,2 Years,Derived,Computed from registration date.
GLOSS-CUST-000010,Preferred Language,The language preferred by the customer for communication.,Customer,Profile,User Provided,Dynamic,Customer,,Communication Language,English,User Input,Supports multilingual interactions.
GLOSS-CUST-000011,Title,The honorific or formal title used by the customer.,Customer,Profile,User Provided,Dynamic,Customer,,Honorific,Mr.,Business,Supports customer communication.
GLOSS-CUST-000012,First Name,The given name of the customer.,Customer,Identity,User Provided,Stable,Customer,,Given Name,Rahul,Business,Primary identity component.
GLOSS-CUST-000013,Middle Name,The middle name of the customer if applicable.,Customer,Identity,User Provided,Stable,Customer,,Middle Name,Kumar,Business,Optional identity component.
GLOSS-CUST-000014,Last Name,The family name or surname of the customer.,Customer,Identity,User Provided,Stable,Customer,,Surname,Sharma,Business,Primary identity component.
GLOSS-CUST-000015,Full Name,The complete legal name of the customer.,Customer,Identity,Derived,Computed,Customer,First Name;Middle Name;Last Name,Legal Name,Rahul Kumar Sharma,Derived,Derived from name components.
GLOSS-CUST-000016,Date of Birth,The customer's official date of birth.,Customer,Profile,User Provided,Stable,Customer,,Birth Date,1995-06-14,Business,Used for age calculation.
GLOSS-CUST-000017,Age,The customer's current age.,Customer,Derived,Derived,Computed,Customer,Date of Birth,,31,Derived,Calculated from date of birth.
