id,value,business_definition,category,display_order,status,introduced_version,deprecated_version,remarks
CS-000001,User Input,Information collected directly from an end user.,Customer,1,Active,1.0.0,,Collected through forms or conversations.
CS-000002,Manual Entry,Information entered manually by an authorized operator.,Internal,2,Active,1.0.0,,Administrative data entry.
CS-000003,Internal System,Information generated by internal platform services.,Internal,3,Active,1.0.0,,Platform-generated values.
CS-000004,Reference Data,Information obtained from enterprise master data.,Reference,4,Active,1.0.0,,Controlled vocabulary or master datasets.
CS-000005,Government Records,Information obtained from government authorities or public registries.,External,5,Active,1.0.0,,Examples include VAHAN and IRDAI.
CS-000006,Insurance Company,Information provided by insurers.,External,6,Active,1.0.0,,Policy documents, APIs or portals.
CS-000007,External Partner,Information received from authorized third-party providers.,External,7,Active,1.0.0,,OEMs, aggregators and partners.
CS-000008,Imported Dataset,Information imported through structured datasets.,External,8,Active,1.0.0,,Bulk imports and migrations.
CS-000009,Document Extraction,Information extracted from documents using OCR or information extraction pipelines.,Derived,9,Active,1.0.0,,PDFs, scanned forms and reports.
CS-000010,Derived,Information computed using deterministic business logic.,Derived,10,Active,1.0.0,,Business rule outputs.
CS-000011,AI Generated,Information produced by machine learning or AI models.,Derived,11,Active,1.0.0,,Predictions, scores and classifications.
