id,value,business_definition,category,display_order,status,introduced_version,deprecated_version,remarks
RC-000001,Customer Type Master,Master list of customer types.,Customer,1,Active,1.0.0,,Examples: Individual, Organization.
RC-000002,Gender Master,Master list of gender values.,Customer,2,Active,1.0.0,,Controlled vocabulary.
RC-000003,Marital Status Master,Master list of marital status values.,Customer,3,Active,1.0.0,,
RC-000004,Education Level Master,Master list of education levels.,Customer,4,Active,1.0.0,,
RC-000005,Occupation Master,Master list of occupations.,Customer,5,Active,1.0.0,,
RC-000006,Employment Status Master,Master list of employment statuses.,Customer,6,Active,1.0.0,,
RC-000007,Industry Sector Master,Master list of industry sectors.,Customer,7,Active,1.0.0,,
RC-000008,Income Range Master,Master list of income ranges.,Customer,8,Active,1.0.0,,
RC-000009,Language Master,Master list of supported languages.,Customer,9,Active,1.0.0,,
RC-000010,Communication Channel Master,Master list of communication channels.,Customer,10,Active,1.0.0,,
RC-000011,Notification Channel Master,Master list of notification channels.,Customer,11,Active,1.0.0,,
RC-000012,Contact Method Master,Master list of preferred contact methods.,Customer,12,Active,1.0.0,,
RC-000013,Risk Appetite Master,Master list of customer risk appetite classifications.,Customer,13,Active,1.0.0,,
RC-000014,Customer Segment Master,Master list of customer segmentation categories.,Customer,14,Active,1.0.0,,
RC-000015,Recommendation Objective Master,Master list of recommendation objectives.,Customer,15,Active,1.0.0,,
RC-000016,Driving Licence Class Master,Master list of driving licence classes.,Driver,16,Active,1.0.0,,
RC-000017,Driving Licence Status Master,Master list of driving licence statuses.,Driver,17,Active,1.0.0,,
RC-000018,Driving Experience Range Master,Master list of driving experience ranges.,Driver,18,Active,1.0.0,,
RC-000019,Traffic Violation Type Master,Master list of traffic violation categories.,Driver,19,Active,1.0.0,,
RC-000020,Vehicle Manufacturer Master,Master list of vehicle manufacturers.,Vehicle,20,Active,1.0.0,,
RC-000021,Vehicle Model Master,Master list of vehicle models.,Vehicle,21,Active,1.0.0,,
RC-000022,Vehicle Variant Master,Master list of vehicle variants.,Vehicle,22,Active,1.0.0,,
RC-000023,Vehicle Category Master,Master list of vehicle categories.,Vehicle,23,Active,1.0.0,,
RC-000024,Vehicle Segment Master,Master list of vehicle market segments.,Vehicle,24,Active,1.0.0,,
RC-000025,Fuel Type Master,Master list of fuel types.,Vehicle,25,Active,1.0.0,,
RC-000026,Transmission Type Master,Master list of transmission types.,Vehicle,26,Active,1.0.0,,
RC-000027,Body Type Master,Master list of vehicle body styles.,Vehicle,27,Active,1.0.0,,
RC-000028,Drive Configuration Master,Master list of drive configurations.,Vehicle,28,Active,1.0.0,,
RC-000029,Emission Standard Master,Master list of emission standards.,Vehicle,29,Active,1.0.0,,
RC-000030,Vehicle Color Master,Master list of vehicle colors.,Vehicle,30,Active,1.0.0,,
RC-000031,Ownership Type Master,Master list of vehicle ownership types.,Vehicle,31,Active,1.0.0,,
RC-000032,Registration Authority Master,Master list of vehicle registration authorities.,Vehicle,32,Active,1.0.0,,
RC-000033,Insurance Company Master,Master list of insurance companies.,Insurance,33,Active,1.0.0,,
RC-000034,Insurance Product Master,Master list of insurance products.,Insurance,34,Active,1.0.0,,
RC-000035,Policy Type Master,Master list of policy types.,Insurance,35,Active,1.0.0,,
RC-000036,Coverage Type Master,Master list of insurance coverage types.,Insurance,36,Active,1.0.0,,
RC-000037,Add-on Coverage Master,Master list of policy add-ons.,Insurance,37,Active,1.0.0,,
RC-000038,Premium Frequency Master,Master list of premium payment frequencies.,Insurance,38,Active,1.0.0,,
RC-000039,Claim Type Master,Master list of claim types.,Insurance,39,Active,1.0.0,,
RC-000040,Claim Status Master,Master list of claim statuses.,Insurance,40,Active,1.0.0,,
RC-000041,Claim Decision Master,Master list of claim decisions.,Insurance,41,Active,1.0.0,,
RC-000042,Policy Status Master,Master list of policy lifecycle statuses.,Insurance,42,Active,1.0.0,,
RC-000043,Country Master,Master list of countries.,Geography,43,Active,1.0.0,,
RC-000044,State Master,Master list of states and union territories.,Geography,44,Active,1.0.0,,
RC-000045,District Master,Master list of districts.,Geography,45,Active,1.0.0,,
RC-000046,City Master,Master list of cities.,Geography,46,Active,1.0.0,,
RC-000047,Postal Code Master,Master list of postal codes.,Geography,47,Active,1.0.0,,
RC-000048,RTO Master,Master list of Regional Transport Offices.,Geography,48,Active,1.0.0,,
RC-000049,Repair Garage Master,Master list of authorized repair garages.,Repair,49,Active,1.0.0,,
RC-000050,Garage Network Master,Master list of garage networks.,Repair,50,Active,1.0.0,,
RC-000051,Repair Type Master,Master list of repair categories.,Repair,51,Active,1.0.0,,
RC-000052,Spare Part Category Master,Master list of spare part categories.,Repair,52,Active,1.0.0,,
RC-000053,Document Type Master,Master list of supported document types.,Documents,53,Active,1.0.0,,
RC-000054,Document Status Master,Master list of document statuses.,Documents,54,Active,1.0.0,,
RC-000055,KYC Document Type Master,Master list of KYC document types.,Documents,55,Active,1.0.0,,
RC-000056,Regulation Master,Master list of applicable regulations.,Regulatory,56,Active,1.0.0,,
RC-000057,Compliance Requirement Master,Master list of compliance requirements.,Regulatory,57,Active,1.0.0,,
RC-000058,Recommendation Strategy Master,Master list of recommendation strategies.,Intelligence,58,Active,1.0.0,,
RC-000059,Risk Model Master,Master list of risk assessment models.,Intelligence,59,Active,1.0.0,,
RC-000060,AI Model Master,Master list of AI models used within the platform.,Intelligence,60,Active,1.0.0,,
RC-000061,Score Band Master,Master list of score band classifications.,Intelligence,61,Active,1.0.0,,
RC-000062,Audit Event Master,Master list of audit event types.,Platform,62,Active,1.0.0,,
RC-000063,System Role Master,Master list of system roles.,Platform,63,Active,1.0.0,,
RC-000064,Permission Master,Master list of application permissions.,Platform,64,Active,1.0.0,,
RC-000065,Workflow Status Master,Master list of workflow statuses.,Platform,65,Active,1.0.0,,
RC-000066,Notification Template Master,Master list of notification templates.,Platform,66,Active,1.0.0,,
RC-000067,API Integration Master,Master list of external system integrations.,Platform,67,Active,1.0.0,,Reserved for future integrations.
