intelligence_id,intelligence_type,subject_type,subject_code,subject_name,attribute,score,level,confidence_score,derived_from,model_id,valid_from,valid_to,status,remarks
INT-HUM-RISK-000001,RISK,DRIVER,DRV-000001,Driver-000001,Overall Driver Risk,28,Low,0.97,Multiple Observations,MODEL-HUM-RISK-001,2026-07-01,2026-07-31,Active,
INT-HUM-RISK-000002,RISK,DRIVER,DRV-000002,Driver-000002,Aggressive Driving Risk,76,High,0.95,OBS-HUM1-000002;OBS-HUM1-000003,MODEL-HUM-RISK-001,2026-07-01,2026-07-31,Active,
INT-HUM-RISK-000003,RISK,DRIVER,DRV-000003,Driver-000003,Distraction Risk,71,High,0.94,OBS-HUM2-000002;OBS-HUM2-000003,MODEL-HUM-RISK-002,2026-07-01,2026-07-31,Active,
INT-HUM-RISK-000004,RISK,DRIVER,DRV-000004,Driver-000004,Fatigue Risk,67,Medium,0.93,OBS-HUM2-000004,MODEL-HUM-RISK-002,2026-07-01,2026-07-31,Active,
INT-HUM-RISK-000005,RISK,DRIVER,DRV-000005,Driver-000005,Speeding Risk,82,High,0.96,OBS-HUM1-000001;OBS-HUM1-000002,MODEL-HUM-RISK-003,2026-07-01,2026-07-31,Active,
INT-HUM-RISK-000006,RISK,DRIVER,DRV-000006,Driver-000006,Night Driving Risk,59,Medium,0.91,OBS-HUM3-000001,MODEL-HUM-RISK-003,2026-07-01,2026-07-31,Active,
INT-HUM-RISK-000007,RISK,DRIVER,DRV-000007,Driver-000007,Compliance Risk,24,Low,0.97,OBS-HUM2-000010,MODEL-HUM-RISK-004,2026-07-01,2026-07-31,Active,
INT-HUM-RISK-000008,RISK,DRIVER,DRV-000008,Driver-000008,Eco Driving Risk,36,Low,0.92,OBS-HUM3-000002,MODEL-HUM-RISK-004,2026-07-01,2026-07-31,Active,
INT-HUM-RISK-000009,RISK,DRIVER,DRV-000009,Driver-000009,Reaction Risk,64,Medium,0.92,OBS-HUM1-000007,MODEL-HUM-RISK-005,2026-07-01,2026-07-31,Active,
INT-HUM-RISK-000010,RISK,DRIVER,DRV-000010,Driver-000010,Overall Behavioral Risk,53,Medium,0.93,Multiple Observations,MODEL-HUM-RISK-005,2026-07-01,2026-07-31,Active,
INT-HUM-RISK-000011,RISK,DRIVER,DRV-000011,Driver-000011,Driver Trust Risk,18,Low,0.98,Multiple Observations,MODEL-HUM-RISK-006,2026-07-01,2026-07-31,Active,
INT-HUM-RISK-000012,RISK,DRIVER,DRV-000012,Driver-000012,Insurance Exposure Risk,69,High,0.94,Multiple Observations,MODEL-HUM-RISK-006,2026-07-01,2026-07-31,Active,
