glossary_id,canonical_term,business_definition,domain,concept_category,semantic_class,lifecycle,parent_concept,derived_from,aliases,example,source,remarks
GLOSS-REG-000001,Regulation,Represents an authoritative regulatory requirement governing insurance operations.,Regulatory,Identity,Core,Dynamic,,,Regulatory Rule,IRDAI Motor Regulation,Business,Root business concept.
GLOSS-REG-000002,Regulation Identifier,Unique identifier assigned to the regulation.,Regulatory,Identity,Core,Stable,Regulation,,Regulation ID,REG-100001,Platform,Primary identifier.
GLOSS-REG-000003,Regulation Name,Official title of the regulation.,Regulatory,Identity,Core,Stable,Regulation,,Title,Motor Insurance Service Regulations,Business,Official name.
GLOSS-REG-000004,Regulation Category,Classification of regulation.,Regulatory,Classification,Core,Stable,Regulation,,Category,Claims Settlement,Business,Supports organization.
GLOSS-REG-000005,Regulation Scope,Business scope governed by the regulation.,Regulatory,Classification,Core,Stable,Regulation,,Scope,Motor Insurance,Business,Applicability.
GLOSS-REG-000006,Regulation Status,Current operational status.,Regulatory,Operational,Derived,Dynamic,Regulation,Regulatory Lifecycle,,Active,Derived,Lifecycle.
GLOSS-REG-000007,Effective Date,Date from which regulation becomes effective.,Regulatory,Operational,Core,Stable,Regulation,,Effective Date,2024-04-01,Regulatory,Legal metadata.
GLOSS-REG-000008,Expiry Date,Date on which regulation expires if applicable.,Regulatory,Operational,Core,Stable,Regulation,,Expiry Date,2030-03-31,Regulatory,Legal metadata.
GLOSS-REG-000009,Issuing Authority,Authority issuing the regulation.,Regulatory,Reference,Core,Stable,Regulation,,Authority,IRDAI,Regulatory,Foreign reference.
GLOSS-REG-000010,Regulation Summary,Simplified explanation of regulation.,Regulatory,Derived,Derived,Computed,Regulation,Regulation Name,,Motor insurance service regulation.,Derived,AI explanation.
GLOSS-REG-000011,Regulatory Authority,Represents an organization responsible for issuing regulations.,Regulatory,Identity,Core,Stable,Regulation,,Authority,IRDAI,Business,Parent concept.
GLOSS-REG-000012,Authority Identifier,Unique authority identifier.,Regulatory,Identity,Core,Stable,Regulatory Authority,,Authority ID,AUTH-100001,Platform,Primary identifier.
GLOSS-REG-000013,Authority Name,Official authority name.,Regulatory,Identity,Core,Stable,Regulatory Authority,,Authority Name,Insurance Regulatory and Development Authority of India,Regulatory,Official title.
GLOSS-REG-000014,Authority Type,Classification of authority.,Regulatory,Classification,Core,Stable,Regulatory Authority,,Authority Type,Regulator,Regulatory,Supports categorization.
GLOSS-REG-000015,Jurisdiction,Geographical jurisdiction governed by the authority.,Regulatory,Reference,Core,Stable,Regulatory Authority,,Jurisdiction,India,Regulatory,Applicability.
