observation_id,observation_type,subject_type,subject_code,subject_name,attribute,metric,metric_unit,observed_value,observation_timestamp,geographic_scope,temporal_scope,source_type,source_name,collection_method,quality_score,confidence_score,version,remarks
OBS-INS2-000001,COVERAGE,POLICY,POL-000001,Policy-000001,Insured Declared Value,Currency,INR,850000,2026-07-01T00:00:00Z,Mumbai,Annual,PAS,Policy Admin System,System,0.99,0.99,v1.0,
OBS-INS2-000002,COVERAGE,POLICY,POL-000002,Policy-000002,Coverage Utilization,Percentage,%,42,2026-07-01T00:00:00Z,Delhi,Annual,Claims,CMS,System,0.98,0.98,v1.0,
OBS-INS2-000003,ADDON,POLICY,POL-000003,Policy-000003,Number of Add-ons,Count,count,3,2026-07-01T00:00:00Z,Bengaluru,Current,PAS,Policy Admin System,System,0.98,0.98,v1.0,
OBS-INS2-000004,ADDON,POLICY,POL-000004,Policy-000004,Engine Protect,Boolean,Flag,Yes,2026-07-01T00:00:00Z,Chennai,Current,PAS,Policy Admin System,System,0.99,0.99,v1.0,
OBS-INS2-000005,ADDON,POLICY,POL-000005,Policy-000005,Roadside Assistance,Boolean,Flag,Yes,2026-07-01T00:00:00Z,Pune,Current,PAS,Policy Admin System,System,0.99,0.99,v1.0,
OBS-INS2-000006,ENDORSEMENT,POLICY,POL-000006,Policy-000006,Endorsements,Count,count,2,2026-07-01T00:00:00Z,Ahmedabad,Annual,PAS,Policy Admin System,System,0.98,0.97,v1.0,
OBS-INS2-000007,COVERAGE,POLICY,POL-000007,Policy-000007,Coverage Gap,Score,index,18,2026-07-01T00:00:00Z,Kolkata,Current,Recommendation,Coverage Engine,Analytics,0.97,0.96,v1.0,
OBS-INS2-000008,NCB,POLICY,POL-000008,Policy-000008,No Claim Bonus,Percentage,%,50,2026-07-01T00:00:00Z,Hyderabad,Annual,PAS,Policy Admin System,System,0.99,0.99,v1.0,
OBS-INS2-000009,COVERAGE,POLICY,POL-000009,Policy-000009,Own Damage Cover,Boolean,Flag,Yes,2026-07-01T00:00:00Z,Jaipur,Current,PAS,Policy Admin System,System,0.99,0.99,v1.0,
OBS-INS2-000010,COVERAGE,POLICY,POL-000010,Policy-000010,Third Party Cover,Boolean,Flag,Yes,2026-07-01T00:00:00Z,Surat,Current,PAS,Policy Admin System,System,0.99,0.99,v1.0,
OBS-INS2-000011,ADDON,POLICY,POL-000011,Policy-000011,Zero Depreciation Cover,Boolean,Flag,Yes,2026-07-01T00:00:00Z,Nagpur,Current,PAS,Policy Admin System,System,0.99,0.99,v1.0,
OBS-INS2-000012,COVERAGE,POLICY,POL-000012,Policy-000012,Consumables Cover,Boolean,Flag,No,2026-07-01T00:00:00Z,Lucknow,Current,PAS,Policy Admin System,System,0.98,0.98,v1.0,
OBS-INS2-000013,COVERAGE,POLICY,POL-000013,Policy-000013,Key Replacement Cover,Boolean,Flag,Yes,2026-07-01T00:00:00Z,Goa,Current,PAS,Policy Admin System,System,0.98,0.98,v1.0,
OBS-INS2-000014,COVERAGE,POLICY,POL-000014,Policy-000014,Invoice Protection,Boolean,Flag,No,2026-07-01T00:00:00Z,Indore,Current,PAS,Policy Admin System,System,0.98,0.97,v1.0,
OBS-INS2-000015,COVERAGE,POLICY,POL-000015,Policy-000015,Coverage Adequacy,Score,index,87,2026-07-01T00:00:00Z,Kochi,Annual,Recommendation,Coverage Engine,Analytics,0.97,0.96,v1.0,
