observation_id,observation_type,subject_type,subject_code,subject_name,attribute,metric,metric_unit,observed_value,evidence_reference,evidence_type,observation_timestamp,geographic_scope,temporal_scope,source_type,source_name,collection_method,quality_score,confidence_score,version,remarks
OBS-CLM2-000001,ASSESSMENT,CLAIM,CLM-000001,Claim-000001,Survey Assigned,Boolean,Flag,Yes,SURVEY_ASSIGN_1001,Survey Assignment,2026-07-02T09:00:00Z,Mumbai,Current,CMS,Claims Management System,System,0.99,0.99,v1.0,
OBS-CLM2-000002,ASSESSMENT,CLAIM,CLM-000002,Claim-000002,Survey Completion Time,Duration,hours,26,SURVEY_REPORT_1002,Survey Report,2026-07-02T10:00:00Z,Pune,Current,Surveyor,Survey Portal,System,0.98,0.98,v1.0,
OBS-CLM2-000003,ASSESSMENT,CLAIM,CLM-000003,Claim-000003,Surveyor Experience,Duration,years,11,SURVEYOR_PROFILE_11,Surveyor Record,2026-07-02T10:20:00Z,Delhi,Current,HR,Surveyor Registry,System,0.99,0.99,v1.0,
OBS-CLM2-000004,ASSESSMENT,CLAIM,CLM-000004,Claim-000004,Damage Severity,Category,Level,High,SURVEY_REPORT_1044,Survey Report,2026-07-02T10:40:00Z,Bengaluru,Current,Surveyor,Inspection,System,0.99,0.98,v1.0,
OBS-CLM2-000005,ASSESSMENT,CLAIM,CLM-000005,Claim-000005,Damage Type,Category,Type,Front Bumper + Bonnet,SURVEY_REPORT_1050,Survey Report,2026-07-02T11:00:00Z,Chennai,Current,Surveyor,Inspection,System,0.98,0.97,v1.0,
OBS-CLM2-000006,ASSESSMENT,CLAIM,CLM-000006,Claim-000006,Affected Components,Count,parts,9,AI_DAMAGE_332,AI Damage Report,2026-07-02T11:15:00Z,Ahmedabad,Current,AI Vision,Damage Assessment AI,AI,0.98,0.97,v1.0,
OBS-CLM2-000007,ASSESSMENT,CLAIM,CLM-000007,Claim-000007,Repair Estimate,Currency,INR,128500,GARAGE_EST_908,Repair Estimate,2026-07-02T11:30:00Z,Hyderabad,Current,Garage,Garage ERP,System,0.99,0.99,v1.0,
OBS-CLM2-000008,ASSESSMENT,CLAIM,CLM-000008,Claim-000008,Parts Cost,Currency,INR,84500,INVOICE_PARTS_881,Repair Estimate,2026-07-02T11:45:00Z,Kolkata,Current,Garage,Garage ERP,System,0.98,0.98,v1.0,
OBS-CLM2-000009,ASSESSMENT,CLAIM,CLM-000009,Claim-000009,Labour Cost,Currency,INR,24000,LABOUR_EST_115,Repair Estimate,2026-07-02T12:00:00Z,Jaipur,Current,Garage,Garage ERP,System,0.98,0.98,v1.0,
OBS-CLM2-000010,ASSESSMENT,CLAIM,CLM-000010,Claim-000010,OEM Garage Used,Boolean,Flag,Yes,GARAGE_PROFILE_22,Garage Profile,2026-07-02T12:20:00Z,Surat,Current,Garage,Garage Registry,System,0.99,0.99,v1.0,
OBS-CLM2-000011,ASSESSMENT,CLAIM,CLM-000011,Claim-000011,Repair Duration Estimate,Duration,days,12,REPAIR_PLAN_103,Repair Plan,2026-07-02T12:40:00Z,Nagpur,Current,Garage,Repair Planning,System,0.97,0.97,v1.0,
OBS-CLM2-000012,ASSESSMENT,CLAIM,CLM-000012,Claim-000012,Reserve Amount,Currency,INR,135000,RESERVE_CALC_221,Reserve Calculation,2026-07-02T13:00:00Z,Goa,Current,CMS,Reserve Engine,Analytics,0.99,0.98,v1.0,
OBS-CLM2-000013,ASSESSMENT,CLAIM,CLM-000013,Claim-000013,Liability Percentage,Percentage,%,100,LIABILITY_REPORT_17,Liability Report,2026-07-02T13:20:00Z,Indore,Current,Claims,Assessment Engine,System,0.98,0.98,v1.0,
OBS-CLM2-000014,ASSESSMENT,CLAIM,CLM-000014,Claim-000014,Document Verification Score,Score,index,96,DOC_VERIFY_881,Document Verification Report,2026-07-02T13:40:00Z,Kochi,Current,OCR,Verification Engine,AI,0.99,0.98,v1.0,
OBS-CLM2-000015,ASSESSMENT,CLAIM,CLM-000015,Claim-000015,Investigation Required,Boolean,Flag,Yes,CLAIM_RULE_001,Rule Engine Output,2026-07-02T14:00:00Z,Lucknow,Current,CMS,Rule Engine,Rules,0.98,0.97,v1.0,
OBS-CLM2-000016,ASSESSMENT,CLAIM,CLM-000016,Claim-000016,Investigation Status,Category,Type,In Progress,INV_CASE_221,Investigation Record,2026-07-02T14:20:00Z,Bhopal,Current,Investigation,Case Management,System,0.98,0.97,v1.0,
OBS-CLM2-000017,ASSESSMENT,CLAIM,CLM-000017,Claim-000017,Fraud Indicators Count,Count,signals,3,FRAUD_SCAN_19,Fraud Screening Report,2026-07-02T14:40:00Z,Patna,Current,Fraud Engine,Fraud AI,AI,0.99,0.98,v1.0,
OBS-CLM2-000018,ASSESSMENT,CLAIM,CLM-000018,Claim-000018,AI Damage Assessment Score,Score,index,92,AI_DAMAGE_MODEL_V5,AI Assessment Report,2026-07-02T15:00:00Z,Noida,Current,Computer Vision,Damage AI,AI,0.99,0.98,v1.0,
OBS-CLM2-000019,ASSESSMENT,CLAIM,CLM-000019,Claim-000019,Repair Feasibility Score,Score,index,89,REPAIR_AI_002,Repair Optimization Report,2026-07-02T15:20:00Z,Mumbai,Current,Repair AI,Optimization Engine,AI,0.98,0.97,v1.0,
OBS-CLM2-000020,ASSESSMENT,CLAIM,CLM-000020,Claim-000020,Estimated Salvage Value,Currency,INR,18500,SALVAGE_REPORT_88,Salvage Assessment,2026-07-02T15:40:00Z,Pune,Current,Surveyor,Assessment,System,0.98,0.97,v1.0,
