observation_id,observation_type,subject_type,subject_code,subject_name,attribute,metric,metric_unit,observed_value,evidence_reference,evidence_type,observation_timestamp,geographic_scope,temporal_scope,source_type,source_name,collection_method,quality_score,confidence_score,version,remarks
OBS-CLM1-000001,FNOL,CLAIM,CLM-000001,Claim-000001,Claim Registration Time,Duration,hours,2,CMS_EVENT_1001,System Log,2026-07-01T09:20:00Z,Mumbai,Current,CMS,Claims Portal,System,0.99,0.99,v1.0,
OBS-CLM1-000002,FNOL,CLAIM,CLM-000002,Claim-000002,Claim Reporting Delay,Duration,hours,18,FNOL_FORM_2045,Claim Form,2026-07-01T09:30:00Z,Pune,Current,Customer App,Mobile App,Customer,0.98,0.98,v1.0,
OBS-CLM1-000003,FNOL,CLAIM,CLM-000003,Claim-000003,Claim Type,Category,Type,Own Damage,CLAIM_MASTER_001,Policy Record,2026-07-01T09:45:00Z,Delhi,Current,CMS,Claims System,System,0.99,0.99,v1.0,
OBS-CLM1-000004,FNOL,CLAIM,CLM-000004,Claim-000004,Cause of Loss,Category,Type,Rear Collision,CUSTOMER_DECL_103,Customer Declaration,2026-07-01T10:00:00Z,Bengaluru,Current,CMS,Claims Portal,System,0.98,0.98,v1.0,
OBS-CLM1-000005,FNOL,CLAIM,CLM-000005,Claim-000005,Loss Date & Time,Timestamp,datetime,2026-06-30T18:12:00Z,FNOL_FORM_2048,Claim Form,2026-07-01T10:10:00Z,Chennai,Current,CMS,Claims Portal,System,0.99,0.99,v1.0,
OBS-CLM1-000006,FNOL,CLAIM,CLM-000006,Claim-000006,Loss Location,GPS,Coordinates,"18.5204,73.8567",GPS_TRACE_887,GPS,2026-07-01T10:20:00Z,Pune,Current,GPS,Customer App,GPS,0.98,0.97,v1.0,
OBS-CLM1-000007,FNOL,CLAIM,CLM-000007,Claim-000007,Initial Claim Amount,Currency,INR,85000,CLAIM_FORM_311,Claim Form,2026-07-01T10:30:00Z,Ahmedabad,Current,CMS,Claims Portal,System,0.99,0.99,v1.0,
OBS-CLM1-000008,FNOL,CLAIM,CLM-000008,Claim-000008,Policy Validation,Boolean,Flag,Valid,POLICY_DB_441,Policy Record,2026-07-01T10:40:00Z,Hyderabad,Current,PAS,Policy Administration,System,0.99,0.99,v1.0,
OBS-CLM1-000009,FNOL,CLAIM,CLM-000009,Claim-000009,Coverage Validation,Boolean,Flag,Covered,COVERAGE_RULE_18,Coverage Engine,2026-07-01T10:50:00Z,Kolkata,Current,PAS,Coverage Engine,Rule Engine,0.99,0.99,v1.0,
OBS-CLM1-000010,FNOL,CLAIM,CLM-000010,Claim-000010,FNOL Channel,Category,Type,Mobile App,CMS_CHANNEL_LOG,System Log,2026-07-01T11:00:00Z,Jaipur,Current,CMS,Mobile Application,System,0.98,0.98,v1.0,
OBS-CLM1-000011,FNOL,CLAIM,CLM-000011,Claim-000011,Reporter Type,Category,Type,Policyholder,CUSTOMER_PROFILE_11,CRM Record,2026-07-01T11:10:00Z,Surat,Current,CRM,Customer Profile,System,0.98,0.97,v1.0,
OBS-CLM1-000012,FNOL,CLAIM,CLM-000012,Claim-000012,Police FIR Available,Boolean,Flag,Yes,FIR_2026_1045.pdf,Police FIR,2026-07-01T11:20:00Z,Nagpur,Current,Police,FIR Upload,OCR,0.98,0.97,v1.0,
OBS-CLM1-000013,FNOL,CLAIM,CLM-000013,Claim-000013,Witness Available,Boolean,Flag,Yes,WITNESS_09.pdf,Witness Statement,2026-07-01T11:30:00Z,Goa,Current,Customer,Statement Upload,Manual,0.97,0.96,v1.0,
OBS-CLM1-000014,FNOL,CLAIM,CLM-000014,Claim-000014,Photo Evidence Count,Count,images,14,IMG_SET_450,Photo,2026-07-01T11:40:00Z,Mumbai,Current,Customer App,Media Upload,System,0.99,0.98,v1.0,
OBS-CLM1-000015,FNOL,CLAIM,CLM-000015,Claim-000015,Video Evidence Available,Boolean,Flag,Yes,VID_8834.mp4,Video,2026-07-01T11:50:00Z,Indore,Current,Customer App,Media Upload,System,0.98,0.97,v1.0,
OBS-CLM1-000016,FNOL,CLAIM,CLM-000016,Claim-000016,Driver Injury,Boolean,Flag,Minor,MEDICAL_CERT_220,Medical Report,2026-07-01T12:00:00Z,Kochi,Current,Hospital,Medical System,System,0.98,0.97,v1.0,
OBS-CLM1-000017,FNOL,CLAIM,CLM-000017,Claim-000017,Third Party Involved,Boolean,Flag,Yes,CLAIM_FORM_410,Claim Form,2026-07-01T12:10:00Z,Lucknow,Current,CMS,Claims Portal,System,0.99,0.98,v1.0,
OBS-CLM1-000018,FNOL,CLAIM,CLM-000018,Claim-000018,Weather During Accident,Category,Type,Heavy Rain,IMD_API_20260701,Weather API,2026-07-01T12:20:00Z,Mumbai,Current,External API,IMD API,API,0.99,0.99,v1.0,
OBS-CLM1-000019,FNOL,CLAIM,CLM-000019,Claim-000019,Road Condition,Category,Type,Wet Road,GIS_SEGMENT_442,Road GIS,2026-07-01T12:30:00Z,Patna,Current,GIS,Maps API,API,0.97,0.96,v1.0,
OBS-CLM1-000020,FNOL,CLAIM,CLM-000020,Claim-000020,Traffic Density,Category,Level,High,TRAFFIC_API_991,Traffic API,2026-07-01T12:40:00Z,Noida,Current,External API,Traffic Service,API,0.97,0.96,v1.0,
