rule_id,rule_name,rule_category,rule_description,input_contexts,condition_expression,reasoning_type,decision_action,decision_priority,confidence_method,explanation_template,applicable_domains,business_owner,rule_version,status,remarks
RULE-000001,Fast Track Settlement,Claims,Approve low-risk claims automatically,"Claims,Fraud","FraudRisk<20 AND ClaimSeverity<=Medium AND DocumentsVerified=True",Rule-Based,Fast Track Claim,Critical,Weighted Confidence,TEMP-001,Claims,Claims Operations,v1.0,Active,
RULE-000002,SIU Assignment,Fraud,Assign suspicious claims to SIU,"Fraud,Claims","FraudRisk>=90",Rule-Based,Assign SIU,Critical,Maximum Evidence,TEMP-002,Fraud,SIU,v1.0,Active,
RULE-000003,Freeze Payment,Fraud,Prevent payment during investigation,"Fraud,Claims","FraudRisk>=95",Rule-Based,Freeze Payment,Critical,Maximum Evidence,TEMP-003,Fraud,Finance,v1.0,Active,
RULE-000004,Coverage Recommendation,Insurance,Recommend policy enhancement,"Insurance,Customer","CoverageGap=True",Rule-Based,Recommend Additional Coverage,Medium,Weighted Confidence,TEMP-004,Insurance,Product,v1.0,Active,
RULE-000005,Vehicle Maintenance,Vehicle,Recommend preventive maintenance,"Vehicle Behaviour","VehicleHealth<70",Rule-Based,Schedule Maintenance,Medium,Weighted Confidence,TEMP-005,Vehicle,Fleet,v1.0,Active,
RULE-000006,Safe Driving Advisory,Human Behaviour,Recommend driver coaching,"Human Behaviour","DrivingRisk>75",Rule-Based,Safe Driving Advisory,Medium,Weighted Confidence,TEMP-006,Driver,Risk,v1.0,Active,
RULE-000007,Weather Warning,Environment,Notify customer of hazardous weather,"Environment","WeatherRisk>=80",Rule-Based,Issue Weather Alert,High,Weighted Confidence,TEMP-007,Environment,Operations,v1.0,Active,
RULE-000008,Reserve Increase,Claims,Increase financial reserve,"Claims","PredictedRepairCost>CurrentReserve",Rule-Based,Increase Reserve,High,Weighted Confidence,TEMP-008,Claims,Finance,v1.0,Active,
RULE-000009,Preferred Garage,Repair,Assign network garage,"Repair","PreferredGarageAvailable=True",Rule-Based,Assign Preferred Garage,Medium,Weighted Confidence,TEMP-009,Repair,Repair Network,v1.0,Active,
RULE-000010,Human Review,Decision,Escalate uncertain AI decisions,"Recommendation","RecommendationConfidence<0.70",Hybrid,Manual Review,Critical,Confidence Threshold,TEMP-010,Recommendation,Operations,v1.0,Active,
RULE-000011,Automatic Approval,Decision,Automatically execute highly confident recommendations,"Recommendation","RecommendationConfidence>=0.95",Hybrid,Automatic Execution,High,Confidence Threshold,TEMP-011,Recommendation,Operations,v1.0,Active,
RULE-000012,Compliance Escalation,Regulatory,Review regulatory exceptions,"Regulatory","ComplianceScore<85",Rule-Based,Compliance Review,High,Rule Confidence,TEMP-012,Regulatory,Compliance,v1.0,Active,
RULE-000013,Customer Retention,Customer,Retain high-value customers,"Customer","CLV>1000000 AND RenewalProbability<0.75",Predictive,Retention Offer,Medium,Prediction Confidence,TEMP-013,Customer,Marketing,v1.0,Active,
RULE-000014,Resource Allocation,Operations,Allocate senior adjuster,"Operations,Claims","ClaimSeverity=High",Rule-Based,Assign Senior Adjuster,Medium,Weighted Confidence,TEMP-014,Claims,Operations,v1.0,Active,
RULE-000015,Integrated Enterprise Decision,Enterprise,Generate enterprise recommendation,"All Domains","DecisionReadiness>=90",Hybrid,Execute Recommendation,Critical,Combined Confidence,TEMP-015,Enterprise,Enterprise AI,v1.0,Active,
