glossary_id,canonical_term,business_definition,domain,concept_category,semantic_class,lifecycle,parent_concept,derived_from,aliases,example,source,remarks
GLOSS-DRVR-000001,Driver,An individual authorized to operate an insured vehicle.,Driver,Identity,Core,Stable,,,Vehicle Operator,Rahul Sharma,Business,Root business concept.
GLOSS-DRVR-000002,Driver Identifier,A unique business identifier assigned to a driver.,Driver,Identity,Core,Stable,Driver,,Driver ID,DRV-100001,Platform,Primary business identifier.
GLOSS-DRVR-000003,Driver Type,Classification of a driver based on their relationship to the insured vehicle.,Driver,Classification,Core,Stable,Driver,,Operator Type,Primary Driver,Business,Examples include Primary, Secondary and Additional Driver.
GLOSS-DRVR-000004,Driver Status,Current operational status of the driver within the platform.,Driver,Operational,Derived,Dynamic,Driver,Driver Lifecycle Status,,Active,Derived,Computed from lifecycle events.
GLOSS-DRVR-000005,Driver Lifecycle Stage,Current stage of the driver's relationship with the platform.,Driver,Operational,Derived,Dynamic,Driver,Registration Date,,Verified Driver,Derived,Supports workflow.
GLOSS-DRVR-000006,Driver Registration Date,Date on which the driver profile was created.,Driver,Identity,Core,Stable,Driver,,Registration Date,2026-07-01,Platform,Platform registration.
GLOSS-DRVR-000007,Driver Relationship,Relationship of the driver to the policyholder.,Driver,Relationship,User Provided,Dynamic,Driver,,Relationship to Customer,Self,Business,Examples include Self, Spouse, Parent.
GLOSS-DRVR-000008,Primary Driver Indicator,Indicates whether the driver is the principal vehicle operator.,Driver,Operational,User Provided,Dynamic,Driver,,Main Driver,True,Business,Supports underwriting.
GLOSS-DRVR-000009,Driver Age,Current age of the driver.,Driver,Derived,Derived,Computed,Driver,Date of Birth,,31,Derived,Computed from date of birth.
GLOSS-DRVR-000010,Driver Verification Status,Current verification status of the driver.,Driver,Regulatory,Derived,Dynamic,Driver,Driving Licence Verification,,Verified,Derived,Compliance indicator.
GLOSS-DRVR-000011,Driving Licence,A government-issued authorization permitting a person to operate a motor vehicle.,Driver,Identity,Core,Stable,Driver,,Licence,DL04202100012345,Regulatory,Primary licence record.
GLOSS-DRVR-000012,Driving Licence Number,Official identification number assigned to a driving licence.,Driver,Identity,Core,Stable,Driving Licence,,Licence Number,MH1220211234567,Regulatory,Primary licence identifier.
GLOSS-DRVR-000013,Driving Licence Class,Category of vehicles the licence holder is authorized to operate.,Driver,Classification,Core,Stable,Driving Licence,,Licence Category,LMV,Regulatory,References Driving Licence Class Master.
GLOSS-DRVR-000014,Driving Licence Status,Current legal status of the driving licence.,Driver,Regulatory,Derived,Dynamic,Driving Licence,,Licence Status,Valid,Regulatory,References Driving Licence Status Master.
GLOSS-DRVR-000015,Licence Issue Date,Date on which the licence was issued.,Driver,Identity,Core,Stable,Driving Licence,,Issue Date,2019-06-15,Regulatory,Government-issued.
GLOSS-DRVR-000016,Licence Expiry Date,Date on which the licence expires.,Driver,Identity,Core,Dynamic,Driving Licence,,Expiry Date,2039-06-14,Regulatory,Government-issued.
GLOSS-DRVR-000017,Licence Validity,Current validity of the driving licence.,Driver,Derived,Derived,Computed,Driving Licence,Licence Expiry Date,,Valid,Derived,Computed using expiry date.
GLOSS-DRVR-000018,Issuing Authority,Government authority that issued the driving licence.,Driver,Reference,Core,Stable,Driving Licence,,Issuing RTO,Pune RTO,Regulatory,References RTO Master.
GLOSS-DRVR-000019,Driving Licence Verification,Verification status of the driving licence.,Driver,Regulatory,Derived,Dynamic,Driving Licence,,Licence Verification,Verified,Derived,Supports compliance.
GLOSS-DRVR-000020,Commercial Licence Indicator,Indicates whether the licence permits commercial driving.,Driver,Classification,Core,Stable,Driving Licence,,Commercial Licence,False,Regulatory,Supports policy eligibility.
GLOSS-DRVR-000021,Hazardous Goods Endorsement,Indicates whether the driver is licensed to transport hazardous goods.,Driver,Classification,Core,Stable,Driving Licence,,Hazmat Endorsement,False,Regulatory,Applicable for commercial insurance.
GLOSS-DRVR-000022,Licence Suspension Status,Indicates whether the licence is currently suspended.,Driver,Regulatory,Derived,Dynamic,Driving Licence,Driving Licence Status,,Not Suspended,Derived,Legal compliance.
GLOSS-DRVR-000023,Driver Profile,Business profile describing the driver.,Driver,Profile,Core,Dynamic,Driver,,Driver Information,Experienced Urban Driver,Business,Parent concept.
GLOSS-DRVR-000024,Date of Birth,Official date of birth of the driver.,Driver,Profile,User Provided,Stable,Driver Profile,,Birth Date,1995-06-14,Business,Supports age calculation.
