reference_id,organization_code,organization_name,organization_type,website,status,effective_date,expiry_date,source_authority,remarks
REF-INS-000001,ACKO,ACKO General Insurance,General Insurance Company,https://www.acko.com,Active,2016-01-01,,IRDAI,
REF-INS-000002,BAJAJ_ALLIANZ,Bajaj Allianz General Insurance,General Insurance Company,https://www.bajajallianz.com,Active,2001-01-01,,IRDAI,
REF-INS-000003,CHOLA,Cholamandalam MS General Insurance,General Insurance Company,https://www.cholainsurance.com,Active,2001-01-01,,IRDAI,
REF-INS-000004,DIGIT,Go Digit General Insurance,General Insurance Company,https://www.godigit.com,Active,2017-01-01,,IRDAI,
REF-INS-000005,FUTURE_GENERALI,Future Generali India Insurance,General Insurance Company,https://general.futuregenerali.in,Active,2007-01-01,,IRDAI,
REF-INS-000006,HDFC_ERGO,HDFC ERGO General Insurance,General Insurance Company,https://www.hdfcergo.com,Active,2002-01-01,,IRDAI,
REF-INS-000007,IFFCO_TOKIO,IFFCO Tokio General Insurance,General Insurance Company,https://www.iffcotokio.co.in,Active,2000-01-01,,IRDAI,
REF-INS-000008,ICICI_LOMBARD,ICICI Lombard General Insurance,General Insurance Company,https://www.icicilombard.com,Active,2001-01-01,,IRDAI,
REF-INS-000009,LIBERTY,Liberty General Insurance,General Insurance Company,https://www.libertyinsurance.in,Active,2013-01-01,,IRDAI,
REF-INS-000010,MAGMA,Magma HDI General Insurance,General Insurance Company,https://www.magmahdi.com,Active,2009-01-01,,IRDAI,
REF-INS-000011,NATIONAL,National Insurance Company,Public Sector General Insurer,https://nationalinsurance.nic.co.in,Active,1906-01-01,,IRDAI,
REF-INS-000012,NEW_INDIA,The New India Assurance Company,Public Sector General Insurer,https://www.newindia.co.in,Active,1919-01-01,,IRDAI,
REF-INS-000013,ORIENTAL,The Oriental Insurance Company,Public Sector General Insurer,https://orientalinsurance.org.in,Active,1947-01-01,,IRDAI,
REF-INS-000014,RELIANCE,Reliance General Insurance,General Insurance Company,https://www.reliancegeneral.co.in,Active,2000-01-01,,IRDAI,
REF-INS-000015,SBI_GENERAL,SBI General Insurance,General Insurance Company,https://www.sbigeneral.in,Active,2009-01-01,,IRDAI,
REF-INS-000016,TATA_AIG,TATA AIG General Insurance,General Insurance Company,https://www.tataaig.com,Active,2001-01-01,,IRDAI,
REF-INS-000017,UNITED_INDIA,United India Insurance,Public Sector General Insurer,https://uiic.co.in,Active,1938-01-01,,IRDAI,
REF-INS-000018,ZURICH_KOTAK,Zurich Kotak General Insurance,General Insurance Company,https://www.zurichkotak.com,Active,2024-01-01,,IRDAI,
