scenario_id,scenario_name,policy_profile,key_observations,derived_intelligence,predictions,recommendations,expected_business_impact
SCN-INS-000001,Loyal Long-Term Customer,"8-year comprehensive policy","Timely payments;No claims","Policy Health=96","Renewal probability 97%","Offer loyalty discount","Higher retention"
SCN-INS-000002,High Lapse Risk,"Irregular payment history","Late premium payments","Lapse Risk=78","Policy lapse likely","Enable Auto Debit","Reduced lapse rate"
SCN-INS-000003,Coverage Gap,"Basic third-party cover","High-value vehicle","Coverage Adequacy=62","Financial exposure","Upgrade own damage cover","Reduced underinsurance"
SCN-INS-000004,Premium Customer,"Luxury vehicle policy","Multiple add-ons","Policy Quality=94","High retention","Offer premium concierge service","Improved customer satisfaction"
SCN-INS-000005,Digital Customer,"Mobile-first user","High portal engagement","Engagement Index=93","Strong renewal likelihood","App-exclusive renewal offer","Lower servicing cost"
SCN-INS-000006,Commercial Fleet,"Fleet insurance","Frequent endorsements","Servicing Index=81","Higher servicing demand","Dedicated account manager","Operational efficiency"
SCN-INS-000007,Young Policyholder,"First-time buyer","Low engagement","Retention Risk=61","Churn probability moderate","Customer education campaign","Improved retention"
SCN-INS-000008,Claim-Free Policy,"Five claim-free years","NCB 50%","Loyalty Index=92","Very high renewal probability","Reward loyalty","Long-term retention"
SCN-INS-000009,Frequent Claimant,"Multiple recent claims","Claim frequency elevated","Claim Stability=54","Premium adjustment expected","Risk counseling","Improved profitability"
SCN-INS-000010,Fraud Watch,"Suspicious endorsements","Fraud signals present","Fraud Risk=73","Manual review required","Underwriting review","Reduced fraud losses"
SCN-INS-000011,Cross-sell Opportunity,"Motor policy only","Family profile","Cross-sell Index=84","PA cover likely","Recommend personal accident cover","Higher premium revenue"
SCN-INS-000012,Upsell Opportunity,"Standard comprehensive","High IDV vehicle","Upsell Index=81","Zero dep upgrade likely","Recommend zero depreciation","Improved coverage"
SCN-INS-000013,KYC Pending,"Documents incomplete","KYC reminder overdue","Compliance Risk=69","Servicing delay expected","Complete KYC","Regulatory compliance"
SCN-INS-000014,Retention Campaign,"Declining engagement","Low portal usage","Retention Index=58","Renewal uncertainty","Personalized retention offer","Reduced churn"
SCN-INS-000015,Healthy Policy Portfolio,"Balanced coverage;Excellent servicing","High satisfaction","Policy Health=98","Excellent long-term value","Maintain existing relationship","High customer lifetime value"
