entity_name,entity_type,description
RoadObservation,Observation,Observed road characteristics
RoadConditionObservation,Observation,Observed road surface condition
RoadGeometryObservation,Observation,Observed road geometry
LightingObservation,Observation,Observed street lighting
ParkingObservation,Observation,Observed parking infrastructure
ParkingSecurityObservation,Observation,Observed parking security
CCTVObservation,Observation,Observed surveillance coverage
FuelStationObservation,Observation,Observed fuel station availability
EVChargingObservation,Observation,Observed EV charging infrastructure
EmergencyServiceObservation,Observation,Observed emergency accessibility
RoadMaintenanceObservation,Observation,Observed maintenance condition
BridgeObservation,Observation,Observed bridge infrastructure
TunnelObservation,Observation,Observed tunnel infrastructure
RoadQualityIndex,DerivedIntelligence,Computed overall road quality
RoadHazardIndex,DerivedIntelligence,Computed road hazard score
InfrastructureReliabilityIndex,DerivedIntelligence,Computed infrastructure reliability
ParkingSafetyIndex,DerivedIntelligence,Computed parking safety score
EmergencyAccessibilityIndex,DerivedIntelligence,Computed emergency accessibility score
NightDrivingInfrastructureScore,DerivedIntelligence,Infrastructure suitability for night driving
InfrastructureRelationship,Relationship,Causal relationships between infrastructure concepts
