intelligence_id,intelligence_type,subject_type,subject_code,subject_name,attribute,score,level,confidence_score,derived_from,model_id,valid_from,valid_to,status,remarks
INT-VEH-RISK-000001,RISK,VEHICLE,VH-000001,Vehicle-000001,Vehicle Health Risk,18,Low,0.97,Multiple Observations,MODEL-VEH-RISK-001,2026-07-01,2026-07-31,Active,
INT-VEH-RISK-000002,RISK,VEHICLE,VH-000002,Vehicle-000002,Breakdown Probability,64,Medium,0.94,OBS-VEH3-000002;OBS-VEH3-000007,MODEL-VEH-RISK-001,2026-07-01,2026-07-31,Active,
INT-VEH-RISK-000003,RISK,VEHICLE,VH-000003,Vehicle-000003,Mechanical Failure Risk,72,High,0.95,OBS-VEH2-000003;OBS-VEH3-000008,MODEL-VEH-RISK-002,2026-07-01,2026-07-31,Active,
INT-VEH-RISK-000004,RISK,VEHICLE,VH-000004,Vehicle-000004,Tyre Failure Risk,41,Low,0.90,OBS-VEH3-000004,MODEL-VEH-RISK-002,2026-07-01,2026-07-31,Active,
INT-VEH-RISK-000005,RISK,VEHICLE,VH-000005,Vehicle-000005,Brake Failure Risk,36,Low,0.91,OBS-VEH3-000005,MODEL-VEH-RISK-003,2026-07-01,2026-07-31,Active,
INT-VEH-RISK-000006,RISK,VEHICLE,VH-000006,Vehicle-000006,Maintenance Risk,69,High,0.93,OBS-VEH3-000006;OBS-VEH3-000007,MODEL-VEH-RISK-003,2026-07-01,2026-07-31,Active,
INT-VEH-RISK-000007,RISK,VEHICLE,VH-000007,Vehicle-000007,Powertrain Risk,57,Medium,0.92,OBS-VEH2-000007,MODEL-VEH-RISK-004,2026-07-01,2026-07-31,Active,
INT-VEH-RISK-000008,RISK,VEHICLE,VH-000008,Vehicle-000008,Battery Failure Risk,52,Medium,0.91,OBS-VEH3-000010,MODEL-VEH-RISK-004,2026-07-01,2026-07-31,Active,
INT-VEH-RISK-000009,RISK,VEHICLE,VH-000009,Vehicle-000009,Usage Intensity Risk,81,High,0.95,OBS-VEH1-000010,MODEL-VEH-RISK-005,2026-07-01,2026-07-31,Active,
INT-VEH-RISK-000010,RISK,VEHICLE,VH-000010,Vehicle-000010,Operational Risk,47,Medium,0.90,Multiple Observations,MODEL-VEH-RISK-005,2026-07-01,2026-07-31,Active,
INT-VEH-RISK-000011,RISK,VEHICLE,VH-000011,Vehicle-000011,Service Compliance Risk,66,Medium,0.92,OBS-VEH3-000011,MODEL-VEH-RISK-006,2026-07-01,2026-07-31,Active,
INT-VEH-RISK-000012,RISK,VEHICLE,VH-000012,Vehicle-000012,Overall Vehicle Risk,54,Medium,0.91,Multiple Observations,MODEL-VEH-RISK-006,2026-07-01,2026-07-31,Active,
