source_entity,relationship,target_entity
flood_risk,requires,engine_protect
new_vehicle,benefits_from,zero_depreciation
new_vehicle,benefits_from,return_to_invoice
high_mileage,benefits_from,roadside_assistance
family_usage,benefits_from,passenger_cover
ev_vehicle,requires,battery_cover
ev_vehicle,requires,charger_cover
theft_risk,requires,strong_theft_protection
high_claim_history,requires,strong_claim_support
budget_first,prefers,value_plans
protection_first,prefers,premium_plans
first_time_buyer,requires,plain_language_explanations
coastal_city,correlates_with,monsoon_exposure
monsoon_exposure,increases_risk_of,flood_risk
coastal_city,requires,engine_protect
parking_risk,increases_risk_of,theft_risk
street_parking,increases_risk_of,vehicle_theft
highway_driving,benefits_from,roadside_assistance
highway_driving,benefits_from,tyre_protection
experienced_buyer,prefers,detailed_comparisons
digital_native,prefers,app_based_servicing
claim_anxious,prefers,strong_claim_support
family_user,requires,passenger_cover
commercial_usage,requires,high_coverage
commercial_vehicle,requires,legal_liability_paid_driver
chauffeur_usage,requires,legal_liability_paid_driver
ev_owner,prefers,ev_plans
ev_vehicle,benefits_from,charger_cover
ev_vehicle,benefits_from,battery_cover
luxury_car,requires,zero_depreciation
luxury_car,benefits_from,return_to_invoice
premium_cars,benefits_from,key_replacement
frequent_drivers,benefits_from,consumables_cover
experienced_drivers,benefits_from,ncb_protection
busy_professionals,benefits_from,daily_allowance
urban_users,benefits_from,loss_of_personal_belongings
flood_damage,is_covered_by,own_damage_cover
vehicle_theft,is_covered_by,own_damage_cover
minor_accident,is_covered_by,own_damage_cover
major_accident,is_covered_by,own_damage_cover
fire_damage,is_covered_by,own_damage_cover
third_party_injury,is_covered_by,third_party_cover
third_party_property_damage,is_covered_by,third_party_cover
drunk_driving,leads_to,claim_rejection
driving_without_license,leads_to,claim_rejection
illegal_activity,leads_to,claim_rejection
fraudulent_claim,leads_to,claim_rejection
mechanical_breakdown,is_excluded_from,own_damage_cover
normal_wear_and_tear,is_excluded_from,own_damage_cover
war_risk,is_excluded_from,own_damage_cover
nuclear_risk,is_excluded_from,own_damage_cover
engine_water_ingress,leads_to,consequential_damage
consequential_damage,is_excluded_from,own_damage_cover
engine_protect,mitigates,engine_water_ingress
zero_depreciation,mitigates,depreciation_loss
return_to_invoice,mitigates,total_loss_financial_gap
consumables_cover,mitigates,repair_cost_out_of_pocket
ncb_protection,mitigates,ncb_loss
key_replacement,mitigates,key_loss
tyre_protection,mitigates,tyre_damage
passenger_cover,mitigates,occupant_risk
battery_cover,mitigates,battery_damage
charger_cover,mitigates,charger_damage
daily_allowance,mitigates,downtime_mobility_loss
loss_of_personal_belongings,mitigates,theft_from_vehicle
claim_delay,escalates_to,IRDAI
claim_rejection,escalates_to,IRDAI
partial_rejection,escalates_to,IRDAI
premium_dispute,escalates_to,IRDAI
mis_selling,escalates_to,IRDAI
policy_mismatch,escalates_to,IRDAI
non_issuance,escalates_to,IRDAI
financial_dispute,qualifies_for,ombudsman
claim_dispute,qualifies_for,ombudsman
premium_refund_dispute,qualifies_for,ombudsman
fraud_allegation,conflicts_with,ombudsman_jurisdiction
own_damage_cover,requires,third_party_cover
personal_accident_cover,mandates,valid_driving_license
third_party_cover,mandates,all_vehicles
personal_accident_cover,mandates,individual_owners
cng_kit,requires,cng_kit_cover
cng_kit,triggers,premium_loading
retrofitted_cng_kit,requires,rto_endorsement
rto_endorsement,mandates,policy_notification
safe_driving,leads_to,ncb_accumulation
ncb_accumulation,reduces,premium_cost
zero_depreciation,recommends,consumables_cover
engine_protect,recommends,consumables_cover
high_theft_zone,requires,return_to_invoice
flood_prone_region,requires,engine_protect
coastal_city,requires,tyre_protection
tier3_city,prefers,value_plans
rural_user,prefers,value_plans
senior_driver,requires,personal_accident_cover
vehicle_age_above_5_years,conflicts_with,zero_depreciation
vehicle_age_above_10_years,conflicts_with,return_to_invoice
standalone_own_damage,requires,valid_third_party_policy
pay_as_you_drive,benefits_from,low_mileage
low_mileage,prefers,pay_as_you_drive
safe_driving,benefits_from,pay_how_you_drive
anti_theft_device,reduces,theft_risk
anti_theft_device,qualifies_for,premium_discount
adas_level,reduces,accident_risk
adas_level,qualifies_for,premium_discount
previous_claims,increases_risk_of,premium_loading
traffic_violations,correlates_with,high_accident_risk
annual_mileage,correlates_with,accident_exposure
suv,increases_risk_of,third_party_damage
premium_suv,requires,maximum_protection
luxury,requires,premium_plans
ev_hatch,requires,battery_cover
ev_suv,requires,battery_cover
minor_scratch,is_covered_by,minor_scratch_repair
body_dent,is_covered_by,dent_repair_cover
hydrostatic_lock,is_covered_by,hydrostatic_lock_cover
vehicle_theft,leads_to,total_loss_claim
total_loss,triggers,return_to_invoice
surveyor_misconduct,escalates_to,insurer
surveyor_delay,triggers,complaint_type
cashless_denial,escalates_to,ombudsman
wrong_idv,leads_to,premium_dispute
data_breach,escalates_to,IRDAI
bima_bharosa,recommends,complaint_tracking
igms,recommends,grievance_management
urban_street_parkers,benefits_from,rodent_damage_cover
wiring_bite_damage,is_covered_by,rodent_damage_cover
