observation_id,observation_type,subject_type,subject_code,subject_name,attribute,metric,metric_unit,observed_value,evidence_reference,evidence_type,observation_timestamp,geographic_scope,temporal_scope,source_type,source_name,collection_method,quality_score,confidence_score,version,remarks
OBS-FRD2-000001,CLAIM_EVIDENCE,CLAIM,CLM-000001,Claim-000001,Claim Reporting Delay,Duration,hours,36,CLAIM_TIMELINE_001,Claim Timeline,2026-07-02T09:00:00Z,Mumbai,Current,CMS,Claims Management,System,0.99,0.98,v1.0,
OBS-FRD2-000002,CLAIM_EVIDENCE,CLAIM,CLM-000002,Claim-000002,Duplicate Claim Detection,Boolean,Flag,Yes,DUPLICATE_SCAN_002,Duplicate Detection Report,2026-07-02T09:15:00Z,Pune,Current,Fraud Engine,Duplicate Detection,AI,0.99,0.99,v1.0,
OBS-FRD2-000003,DOCUMENT,CLAIM,CLM-000003,Claim-000003,Document Authenticity,Score,index,81,DOC_VERIFY_003,Document Verification,2026-07-02T09:30:00Z,Delhi,Current,OCR,OCR Engine,AI,0.98,0.97,v1.0,
OBS-FRD2-000004,DOCUMENT,CLAIM,CLM-000004,Claim-000004,OCR Confidence,Score,index,94,OCR_RESULT_004,OCR Report,2026-07-02T09:45:00Z,Bengaluru,Current,OCR,OCR Engine,AI,0.98,0.97,v1.0,
OBS-FRD2-000005,IMAGE,CLAIM,CLM-000005,Claim-000005,Image Manipulation Score,Score,index,67,IMAGE_FORENSICS_005,Image Forensics Report,2026-07-02T10:00:00Z,Chennai,Current,Vision AI,Image Forensics,AI,0.98,0.97,v1.0,
OBS-FRD2-000006,VIDEO,CLAIM,CLM-000006,Claim-000006,Video Tampering Score,Score,index,22,VIDEO_FORENSICS_006,Video Forensics Report,2026-07-02T10:15:00Z,Ahmedabad,Current,Vision AI,Video Forensics,AI,0.98,0.97,v1.0,
OBS-FRD2-000007,REPAIR,CLAIM,CLM-000007,Claim-000007,Repair Estimate Anomaly,Score,index,74,ESTIMATE_COMPARE_007,Estimate Comparison,2026-07-02T10:30:00Z,Hyderabad,Current,Garage Analytics,Repair Analytics,Analytics,0.98,0.97,v1.0,
OBS-FRD2-000008,INVOICE,CLAIM,CLM-000008,Claim-000008,Invoice Authenticity,Score,index,89,INVOICE_VERIFY_008,Invoice Verification,2026-07-02T10:45:00Z,Kolkata,Current,OCR,Invoice Verification,AI,0.99,0.98,v1.0,
OBS-FRD2-000009,SURVEY,CLAIM,CLM-000009,Claim-000009,Survey Assessment Consistency,Score,index,91,SURVEY_COMPARE_009,Survey Comparison Report,2026-07-02T11:00:00Z,Jaipur,Current,Survey System,Assessment Engine,Analytics,0.98,0.97,v1.0,
OBS-FRD2-000010,GPS,CLAIM,CLM-000010,Claim-000010,GPS Consistency,Score,index,95,GPS_TRACE_010,GPS Analysis,2026-07-02T11:15:00Z,Surat,Current,GPS,Location Analytics,Analytics,0.99,0.98,v1.0,
OBS-FRD2-000011,TELEMATICS,VEHICLE,VEH-000011,Vehicle-000011,Telematics Consistency,Score,index,88,TELEMATICS_011,Telematics Report,2026-07-02T11:30:00Z,Nagpur,Current,Telematics,Vehicle Analytics,Analytics,0.99,0.98,v1.0,
OBS-FRD2-000012,WEATHER,CLAIM,CLM-000012,Claim-000012,Weather Consistency,Score,index,96,WEATHER_API_012,Weather Verification,2026-07-02T11:45:00Z,Goa,Current,Weather API,Weather Service,API,0.99,0.99,v1.0,
OBS-FRD2-000013,DAMAGE,CLAIM,CLM-000013,Claim-000013,Damage Pattern Consistency,Score,index,84,DAMAGE_AI_013,Damage Pattern Report,2026-07-02T12:00:00Z,Indore,Current,Vision AI,Damage Assessment,AI,0.98,0.97,v1.0,
OBS-FRD2-000014,WITNESS,CLAIM,CLM-000014,Claim-000014,Witness Statement Consistency,Score,index,92,WITNESS_COMPARE_014,Witness Analysis,2026-07-02T12:15:00Z,Kochi,Current,Investigation,Witness Analysis,Manual,0.97,0.96,v1.0,
OBS-FRD2-000015,POLICE,CLAIM,CLM-000015,Claim-000015,FIR Consistency,Score,index,97,FIR_VERIFY_015,Police Verification,2026-07-02T12:30:00Z,Lucknow,Current,Police,Police Database,API,0.99,0.99,v1.0,
OBS-FRD2-000016,PAYMENT,CLAIM,CLM-000016,Claim-000016,Payment Pattern Anomaly,Score,index,63,PAYMENT_ANALYSIS_016,Payment Analytics,2026-07-02T12:45:00Z,Bhopal,Current,Finance,Payment Analytics,Analytics,0.98,0.97,v1.0,
OBS-FRD2-000017,POLICY,CLAIM,CLM-000017,Claim-000017,Coverage Consistency,Score,index,94,COVERAGE_VERIFY_017,Coverage Analysis,2026-07-02T13:00:00Z,Patna,Current,PAS,Coverage Engine,Rules,0.99,0.98,v1.0,
OBS-FRD2-000018,CLAIM,CLAIM,CLM-000018,Claim-000018,Claim Inflation Score,Score,index,72,CLAIM_ESTIMATE_COMPARE_018,Claim Comparison Report,2026-07-02T13:15:00Z,Noida,Current,Fraud Engine,Claim Analytics,AI,0.98,0.97,v1.0,
OBS-FRD2-000019,HISTORY,CLAIM,CLM-000019,Claim-000019,Historical Claim Similarity,Score,index,79,HISTORY_MATCH_019,Historical Matching Report,2026-07-02T13:30:00Z,Mumbai,Current,Fraud Engine,Similarity Engine,AI,0.98,0.97,v1.0,
OBS-FRD2-000020,EVIDENCE,CLAIM,CLM-000020,Claim-000020,Overall Evidence Consistency,Score,index,90,EVIDENCE_SUMMARY_020,Evidence Correlation Report,2026-07-02T13:45:00Z,Pune,Current,Fraud Engine,Evidence Correlation,Analytics,0.99,0.98,v1.0,
