observation_id,observation_type,subject_type,subject_code,subject_name,attribute,metric,metric_unit,observed_value,evidence_reference,evidence_type,observation_timestamp,geographic_scope,temporal_scope,source_type,source_name,collection_method,quality_score,confidence_score,version,remarks
OBS-FRD1-000001,IDENTITY,CUSTOMER,CUS-000001,Customer-000001,KYC Verification Status,Category,Status,Verified,KYC_REPORT_001,KYC Report,2026-07-01T09:00:00Z,Mumbai,Current,KYC System,eKYC Platform,API,0.99,0.99,v1.0,
OBS-FRD1-000002,IDENTITY,CUSTOMER,CUS-000002,Customer-000002,Identity Match Score,Score,index,98,ID_MATCH_002,Identity Verification Report,2026-07-01T09:15:00Z,Pune,Current,Identity Engine,Identity Service,AI,0.99,0.98,v1.0,
OBS-FRD1-000003,BEHAVIOR,CUSTOMER,CUS-000003,Customer-000003,Policy Purchase Velocity,Count,policies,4,CRM_ACTIVITY_003,CRM Activity Log,2026-07-01T09:30:00Z,Delhi,30 Days,CRM,CRM System,Analytics,0.97,0.96,v1.0,
OBS-FRD1-000004,BEHAVIOR,CUSTOMER,CUS-000004,Customer-000004,Premium Payment Pattern,Category,Type,Irregular,PAYMENT_HISTORY_004,Payment History,2026-07-01T09:45:00Z,Bengaluru,12 Months,Finance,Payment Gateway,System,0.98,0.97,v1.0,
OBS-FRD1-000005,IDENTITY,CUSTOMER,CUS-000005,Customer-000005,Device Fingerprint Match,Boolean,Flag,No,DEVICE_HASH_005,Device Fingerprint,2026-07-01T10:00:00Z,Chennai,Current,Security,Fingerprint Engine,System,0.98,0.97,v1.0,
OBS-FRD1-000006,BEHAVIOR,CUSTOMER,CUS-000006,Customer-000006,IP Reputation Score,Score,index,42,IP_REPUTATION_006,Threat Intelligence,2026-07-01T10:15:00Z,Ahmedabad,Current,Security,Threat Feed,API,0.97,0.96,v1.0,
OBS-FRD1-000007,IDENTITY,CUSTOMER,CUS-000007,Customer-000007,Geolocation Consistency,Boolean,Flag,No,GEO_ANALYSIS_007,GPS Analysis,2026-07-01T10:30:00Z,Hyderabad,Current,GPS,Location Service,Analytics,0.98,0.97,v1.0,
OBS-FRD1-000008,BEHAVIOR,CUSTOMER,CUS-000008,Customer-000008,Login Velocity,Count,logins,16,LOGIN_LOG_008,Authentication Log,2026-07-01T10:45:00Z,Kolkata,24 Hours,Authentication,Identity Server,System,0.98,0.97,v1.0,
OBS-FRD1-000009,IDENTITY,CUSTOMER,CUS-000009,Customer-000009,Blacklist Match,Boolean,Flag,Yes,BLACKLIST_DB_009,External Blacklist,2026-07-01T11:00:00Z,Jaipur,Current,Fraud DB,Watchlist Service,API,0.99,0.99,v1.0,
OBS-FRD1-000010,BEHAVIOR,CUSTOMER,CUS-000010,Customer-000010,Historical Fraud Flags,Count,cases,2,FRAUD_HISTORY_010,Fraud Case History,2026-07-01T11:15:00Z,Surat,5 Years,Fraud System,SIU Database,System,0.99,0.98,v1.0,
OBS-FRD1-000011,IDENTITY,CUSTOMER,CUS-000011,Customer-000011,Contact Consistency,Score,index,91,CRM_PROFILE_011,Customer Profile,2026-07-01T11:30:00Z,Nagpur,Current,CRM,CRM System,System,0.98,0.97,v1.0,
OBS-FRD1-000012,BEHAVIOR,CUSTOMER,CUS-000012,Customer-000012,Policy Renewal Pattern,Category,Type,Abnormal,POLICY_HISTORY_012,Policy History,2026-07-01T11:45:00Z,Goa,5 Years,PAS,Policy Administration,System,0.97,0.96,v1.0,
OBS-FRD1-000013,IDENTITY,CUSTOMER,CUS-000013,Customer-000013,Mobile Number Verification,Boolean,Flag,Verified,MOBILE_VERIFY_013,OTP Verification,2026-07-01T12:00:00Z,Indore,Current,Identity,OTP Service,API,0.99,0.99,v1.0,
OBS-FRD1-000014,BEHAVIOR,CUSTOMER,CUS-000014,Customer-000014,Email Reputation Score,Score,index,87,EMAIL_VERIFY_014,Email Intelligence,2026-07-01T12:15:00Z,Kochi,Current,Security,Email Intelligence,API,0.97,0.96,v1.0,
OBS-FRD1-000015,IDENTITY,CUSTOMER,CUS-000015,Customer-000015,Identity Confidence Score,Score,index,95,IDENTITY_ENGINE_015,Identity Engine,2026-07-01T12:30:00Z,Lucknow,Current,Identity,Verification Engine,AI,0.99,0.98,v1.0,
OBS-FRD1-000016,BEHAVIOR,CUSTOMER,CUS-000016,Customer-000016,Behavioral Anomaly Score,Score,index,74,BEHAVIOR_AI_016,Behavior Analytics,2026-07-01T12:45:00Z,Bhopal,Current,AI,Behavior Engine,AI,0.98,0.97,v1.0,
OBS-FRD1-000017,IDENTITY,CUSTOMER,CUS-000017,Customer-000017,Address Consistency,Boolean,Flag,Yes,ADDRESS_VERIFY_017,Address Verification,2026-07-01T13:00:00Z,Patna,Current,CRM,Address Service,System,0.98,0.97,v1.0,
OBS-FRD1-000018,BEHAVIOR,CUSTOMER,CUS-000018,Customer-000018,Session Risk Score,Score,index,58,SESSION_ANALYTICS_018,Security Analytics,2026-07-01T13:15:00Z,Noida,Current,Security,Security Engine,AI,0.97,0.96,v1.0,
OBS-FRD1-000019,IDENTITY,CUSTOMER,CUS-000019,Customer-000019,Document Identity Match,Score,index,96,DOC_MATCH_019,OCR Verification,2026-07-01T13:30:00Z,Mumbai,Current,OCR,OCR Engine,AI,0.99,0.98,v1.0,
OBS-FRD1-000020,BEHAVIOR,CUSTOMER,CUS-000020,Customer-000020,Overall Identity Trust Score,Score,index,93,IDENTITY_SUMMARY_020,Identity Analytics,2026-07-01T13:45:00Z,Pune,Current,Identity,Identity Engine,Analytics,0.99,0.99,v1.0,
