observation_id,observation_type,subject_type,subject_code,subject_name,attribute,metric,metric_unit,observed_value,evidence_reference,evidence_type,observation_timestamp,geographic_scope,temporal_scope,source_type,source_name,collection_method,quality_score,confidence_score,version,remarks
OBS-REC3-000001,DECISION_CONTEXT,DECISION,DEC-000001,Recommendation-000001,Business Rule Match,Percentage,%,100,RULE_ENGINE_001,Business Rule Engine,2026-07-05T17:30:00Z,Mumbai,Current,Rule Engine,Business Rules,Rules,0.99,0.99,v1.0,
OBS-REC3-000002,DECISION_CONTEXT,DECISION,DEC-000002,Recommendation-000002,Regulatory Compliance Score,Score,index,98,REG_ENGINE_002,Compliance Engine,2026-07-05T17:40:00Z,Pune,Current,Compliance,Compliance Engine,Rules,0.99,0.98,v1.0,
OBS-REC3-000003,DECISION_CONTEXT,DECISION,DEC-000003,Recommendation-000003,AI Recommendation Confidence,Score,index,95,AI_MODEL_003,Recommendation Model,2026-07-05T17:50:00Z,Delhi,Current,AI,Decision Engine,AI,0.99,0.99,v1.0,
OBS-REC3-000004,DECISION_CONTEXT,DECISION,DEC-000004,Recommendation-000004,Recommendation Priority,Category,Level,Critical,PRIORITY_ENGINE_004,Priority Engine,2026-07-05T18:00:00Z,Bengaluru,Current,Decision Engine,Priority Engine,Rules,0.99,0.99,v1.0,
OBS-REC3-000005,DECISION_CONTEXT,DECISION,DEC-000005,Recommendation-000005,Expected Customer Impact,Category,Impact,Very Positive,IMPACT_MODEL_005,Impact Assessment,2026-07-05T18:10:00Z,Chennai,Current,AI,Impact Engine,AI,0.98,0.97,v1.0,
OBS-REC3-000006,DECISION_CONTEXT,DECISION,DEC-000006,Recommendation-000006,Expected Financial Benefit,Currency,INR,165000,FIN_MODEL_006,Financial Model,2026-07-05T18:20:00Z,Ahmedabad,Current,Finance,Financial Analytics,Analytics,0.98,0.97,v1.0,
OBS-REC3-000007,DECISION_CONTEXT,DECISION,DEC-000007,Recommendation-000007,Expected Risk Reduction,Percentage,%,41,RISK_MODEL_007,Risk Analytics,2026-07-05T18:30:00Z,Hyderabad,Current,Risk,Risk Engine,AI,0.98,0.97,v1.0,
OBS-REC3-000008,DECISION_CONTEXT,DECISION,DEC-000008,Recommendation-000008,Implementation Cost,Currency,INR,12500,COST_MODEL_008,Cost Estimation,2026-07-05T18:40:00Z,Kolkata,Current,Finance,Cost Engine,Analytics,0.97,0.96,v1.0,
OBS-REC3-000009,DECISION_CONTEXT,DECISION,DEC-000009,Recommendation-000009,Implementation Complexity,Category,Level,Medium,OPS_MODEL_009,Operations Analysis,2026-07-05T18:50:00Z,Jaipur,Current,Operations,Operations Analytics,Analytics,0.97,0.96,v1.0,
OBS-REC3-000010,DECISION_CONTEXT,DECISION,DEC-000010,Recommendation-000010,Approval Requirement,Category,Level,Manager Approval,WORKFLOW_010,Workflow Engine,2026-07-05T19:00:00Z,Surat,Current,Workflow,Workflow Engine,System,0.99,0.99,v1.0,
OBS-REC3-000011,DECISION_CONTEXT,DECISION,DEC-000011,Recommendation-000011,Explainability Score,Score,index,93,XAI_ENGINE_011,Explainability Engine,2026-07-05T19:10:00Z,Nagpur,Current,XAI,XAI Engine,AI,0.99,0.98,v1.0,
OBS-REC3-000012,DECISION_CONTEXT,DECISION,DEC-000012,Recommendation-000012,Historical Success Rate,Percentage,%,91,HISTORY_MODEL_012,Historical Analytics,2026-07-05T19:20:00Z,Goa,Current,Analytics,Decision History,Analytics,0.98,0.97,v1.0,
OBS-REC3-000013,DECISION_CONTEXT,DECISION,DEC-000013,Recommendation-000013,Similar Decisions Executed,Count,Recommendations,438,HISTORY_DB_013,Historical Repository,2026-07-05T19:30:00Z,Indore,Current,Knowledge Base,Recommendation Repository,System,0.99,0.98,v1.0,
OBS-REC3-000014,DECISION_CONTEXT,DECISION,DEC-000014,Recommendation-000014,Human Override Required,Boolean,Flag,No,GOVERNANCE_014,Governance Engine,2026-07-05T19:40:00Z,Kochi,Current,Governance,Decision Governance,System,0.99,0.99,v1.0,
OBS-REC3-000015,DECISION_CONTEXT,DECISION,DEC-000015,Recommendation-000015,Decision Trace Completeness,Score,index,97,TRACE_ENGINE_015,Decision Trace Engine,2026-07-05T19:50:00Z,Lucknow,Current,Traceability,Decision Trace,System,0.99,0.99,v1.0,
OBS-REC3-000016,DECISION_CONTEXT,DECISION,DEC-000016,Recommendation-000016,Business Objective Alignment,Score,index,95,STRATEGY_MODEL_016,Strategy Alignment,2026-07-05T20:00:00Z,Bhopal,Current,Strategy,Business Intelligence,Analytics,0.99,0.98,v1.0,
OBS-REC3-000017,DECISION_CONTEXT,DECISION,DEC-000017,Recommendation-000017,Recommendation Urgency,Category,Level,High,URGENCY_ENGINE_017,Urgency Assessment,2026-07-05T20:10:00Z,Patna,Current,Decision Engine,Urgency Engine,Rules,0.99,0.98,v1.0,
OBS-REC3-000018,DECISION_CONTEXT,DECISION,DEC-000018,Recommendation-000018,Business Constraint Satisfaction,Percentage,%,96,CONSTRAINT_MODEL_018,Constraint Engine,2026-07-05T20:20:00Z,Noida,Current,Business Rules,Constraint Engine,Rules,0.98,0.97,v1.0,
OBS-REC3-000019,DECISION_CONTEXT,DECISION,DEC-000019,Recommendation-000019,Decision Readiness Score,Score,index,94,READINESS_MODEL_019,Decision Readiness Engine,2026-07-05T20:30:00Z,Mumbai,Current,Recommendation,Decision Engine,Analytics,0.99,0.99,v1.0,
OBS-REC3-000020,DECISION_CONTEXT,DECISION,DEC-000020,Recommendation-000020,Overall Recommendation Readiness,Score,index,96,FINAL_DECISION_020,Recommendation Engine,2026-07-05T20:40:00Z,Pune,Current,Recommendation,Recommendation Engine,AI,0.99,0.99,v1.0,
