observation_id,observation_type,subject_type,subject_code,subject_name,attribute,metric,metric_unit,observed_value,evidence_reference,evidence_type,observation_timestamp,geographic_scope,temporal_scope,source_type,source_name,collection_method,quality_score,confidence_score,version,remarks
OBS-REC1-000001,CUSTOMER_CONTEXT,CUSTOMER,CUS-000001,Customer-000001,Customer Lifetime Value,Currency,INR,1250000,CLV_MODEL_001,Customer Analytics,2026-07-05T09:00:00Z,Mumbai,Current,CRM,Customer Analytics,Analytics,0.99,0.98,v1.0,
OBS-REC1-000002,CUSTOMER_CONTEXT,CUSTOMER,CUS-000002,Customer-000002,Customer Segment,Category,Type,Premium,CRM_PROFILE_002,CRM Profile,2026-07-05T09:15:00Z,Pune,Current,CRM,Customer Profile,System,0.99,0.99,v1.0,
OBS-REC1-000003,CUSTOMER_CONTEXT,CUSTOMER,CUS-000003,Customer-000003,Loyalty Score,Score,index,91,LOYALTY_ENGINE_003,Loyalty Analytics,2026-07-05T09:30:00Z,Delhi,Current,Loyalty,Loyalty Platform,Analytics,0.98,0.97,v1.0,
OBS-REC1-000004,POLICY_CONTEXT,POLICY,POL-000004,Policy-000004,Coverage Adequacy,Score,index,87,COVERAGE_ANALYSIS_004,Coverage Analysis,2026-07-05T09:45:00Z,Bengaluru,Current,PAS,Coverage Engine,Analytics,0.98,0.97,v1.0,
OBS-REC1-000005,POLICY_CONTEXT,POLICY,POL-000005,Policy-000005,Policy Renewal Probability,Probability,index,0.82,RENEWAL_MODEL_005,Renewal Prediction,2026-07-05T10:00:00Z,Chennai,Current,AI,Renewal Engine,AI,0.98,0.97,v1.0,
OBS-REC1-000006,CUSTOMER_CONTEXT,CUSTOMER,CUS-000006,Customer-000006,Customer Risk Category,Category,Level,Medium,RISK_PROFILE_006,Risk Profile,2026-07-05T10:15:00Z,Ahmedabad,Current,Risk,Risk Engine,Analytics,0.99,0.98,v1.0,
OBS-REC1-000007,CUSTOMER_CONTEXT,CUSTOMER,CUS-000007,Customer-000007,Complaint History,Count,cases,2,CRM_HISTORY_007,Customer History,2026-07-05T10:30:00Z,Hyderabad,Current,CRM,CRM System,System,0.98,0.97,v1.0,
OBS-REC1-000008,CUSTOMER_CONTEXT,CUSTOMER,CUS-000008,Customer-000008,Digital Engagement Score,Score,index,88,ENGAGEMENT_008,Digital Analytics,2026-07-05T10:45:00Z,Kolkata,Current,Analytics,Customer Analytics,Analytics,0.98,0.97,v1.0,
OBS-REC1-000009,CUSTOMER_CONTEXT,CUSTOMER,CUS-000009,Customer-000009,Payment Behaviour,Category,Type,Consistent,PAYMENT_HISTORY_009,Payment History,2026-07-05T11:00:00Z,Jaipur,Current,Finance,Payment Analytics,System,0.99,0.98,v1.0,
OBS-REC1-000010,CUSTOMER_CONTEXT,CUSTOMER,CUS-000010,Customer-000010,Relationship Duration,Duration,Years,9,CRM_PROFILE_010,CRM Profile,2026-07-05T11:15:00Z,Surat,Current,CRM,CRM System,System,0.99,0.99,v1.0,
OBS-REC1-000011,CUSTOMER_CONTEXT,CUSTOMER,CUS-000011,Customer-000011,Cross-Sell Potential,Score,index,79,CROSSSELL_MODEL_011,Marketing Analytics,2026-07-05T11:30:00Z,Nagpur,Current,Marketing,Recommendation Engine,AI,0.97,0.96,v1.0,
OBS-REC1-000012,CUSTOMER_CONTEXT,CUSTOMER,CUS-000012,Customer-000012,Upsell Potential,Score,index,83,UPSELL_MODEL_012,Marketing Analytics,2026-07-05T11:45:00Z,Goa,Current,Marketing,Recommendation Engine,AI,0.97,0.96,v1.0,
OBS-REC1-000013,CUSTOMER_CONTEXT,CUSTOMER,CUS-000013,Customer-000013,Coverage Gap Score,Score,index,62,COVERAGE_GAP_013,Coverage Analytics,2026-07-05T12:00:00Z,Indore,Current,PAS,Coverage Analytics,Analytics,0.98,0.97,v1.0,
OBS-REC1-000014,CUSTOMER_CONTEXT,CUSTOMER,CUS-000014,Customer-000014,Retention Probability,Probability,index,0.91,RETENTION_MODEL_014,Retention Analytics,2026-07-05T12:15:00Z,Kochi,Current,Marketing,Retention Engine,AI,0.98,0.97,v1.0,
OBS-REC1-000015,CUSTOMER_CONTEXT,CUSTOMER,CUS-000015,Customer-000015,Customer Trust Score,Score,index,94,TRUST_ENGINE_015,Trust Analytics,2026-07-05T12:30:00Z,Lucknow,Current,CRM,Trust Engine,Analytics,0.99,0.98,v1.0,
OBS-REC1-000016,BUSINESS_CONTEXT,PORTFOLIO,PORT-000016,Portfolio-000016,Portfolio Value,Currency,INR,48500000,PORTFOLIO_ANALYTICS_016,Portfolio Analytics,2026-07-05T12:45:00Z,Bhopal,Current,Portfolio,Portfolio Engine,Analytics,0.99,0.99,v1.0,
OBS-REC1-000017,BUSINESS_CONTEXT,CUSTOMER,CUS-000017,Customer-000017,Policy Portfolio Size,Count,Policies,4,POLICY_SUMMARY_017,Policy Summary,2026-07-05T13:00:00Z,Patna,Current,PAS,Policy Administration,System,0.98,0.97,v1.0,
OBS-REC1-000018,BUSINESS_CONTEXT,CUSTOMER,CUS-000018,Customer-000018,Business Value Score,Score,index,89,BUSINESS_VALUE_018,Business Analytics,2026-07-05T13:15:00Z,Noida,Current,BI,Business Intelligence,Analytics,0.98,0.97,v1.0,
OBS-REC1-000019,BUSINESS_CONTEXT,CUSTOMER,CUS-000019,Customer-000019,Customer Profitability,Category,Level,High,PROFITABILITY_MODEL_019,Profitability Analytics,2026-07-05T13:30:00Z,Mumbai,Current,Finance,Profitability Engine,Analytics,0.99,0.98,v1.0,
OBS-REC1-000020,BUSINESS_CONTEXT,CUSTOMER,CUS-000020,Customer-000020,Overall Recommendation Readiness,Score,index,93,DECISION_ENGINE_020,Recommendation Engine,2026-07-05T13:45:00Z,Pune,Current,Recommendation,Decision Engine,AI,0.99,0.99,v1.0,
