glossary_id,canonical_term,business_definition,domain,concept_category,semantic_class,lifecycle,parent_concept,derived_from,aliases,example,source,remarks
GLOSS-VEH-000001,Vehicle,A motor vehicle that may be owned, operated and insured through the InsureAI platform.,Vehicle,Identity,Core,Stable,,,Automobile,Tata Nexon,Business,Root business concept.
GLOSS-VEH-000002,Vehicle Identifier,A unique business identifier assigned to a vehicle.,Vehicle,Identity,Core,Stable,Vehicle,,Vehicle ID,VEH-100001,Platform,Primary business identifier.
GLOSS-VEH-000003,Vehicle Type,Classification of the vehicle based on its intended use.,Vehicle,Classification,Core,Stable,Vehicle,,Vehicle Category,Private Car,Business,References Vehicle Category Master.
GLOSS-VEH-000004,Vehicle Status,Current operational status of the vehicle within the platform.,Vehicle,Operational,Derived,Dynamic,Vehicle,Vehicle Lifecycle Stage,,Active,Derived,Computed business status.
GLOSS-VEH-000005,Vehicle Lifecycle Stage,Current stage of the vehicle within its business lifecycle.,Vehicle,Operational,Derived,Dynamic,Vehicle,Registration Date,,Insured,Derived,Supports workflow.
GLOSS-VEH-000006,Vehicle Registration Date,Date on which the vehicle was onboarded into the platform.,Vehicle,Identity,Core,Stable,Vehicle,,Platform Registration Date,2026-07-01,Platform,Platform registration.
GLOSS-VEH-000007,Vehicle Age,Current age of the vehicle.,Vehicle,Derived,Derived,Computed,Vehicle,Manufacturing Year,,4 Years,Derived,Computed automatically.
GLOSS-VEH-000008,Vehicle Segment,Market segment of the vehicle.,Vehicle,Classification,Reference,Stable,Vehicle,,Segment,SUV,Business,References Vehicle Segment Master.
GLOSS-VEH-000009,Vehicle Class,Regulatory classification of the vehicle.,Vehicle,Classification,Reference,Stable,Vehicle,,Class,LMV,Regulatory,Supports underwriting.
GLOSS-VEH-000010,Vehicle Verification Status,Current verification status of the vehicle.,Vehicle,Operational,Derived,Dynamic,Vehicle,Registration Verification,,Verified,Derived,Compliance indicator.
GLOSS-VEH-000011,Vehicle Registration,Official registration details assigned by the transport authority.,Vehicle,Identity,Core,Stable,Vehicle,,Registration Certificate,MH12AB1234,Regulatory,Parent concept.
