glossary_id,canonical_term,business_definition,domain,concept_category,semantic_class,lifecycle,parent_concept,derived_from,aliases,example,source,remarks
GLOSS-REP-000001,Repair Order,Represents an approved repair job created after claim approval.,Repair,Identity,Core,Dynamic,,,Repair Job,Repair Order,Business,Root business concept.
GLOSS-REP-000002,Repair Order Identifier,Unique identifier assigned to the repair order.,Repair,Identity,Core,Stable,Repair Order,,Repair ID,REP-100001,Platform,Primary identifier.
GLOSS-REP-000003,Repair Order Number,Official repair order number.,Repair,Identity,Core,Stable,Repair Order,,Repair Number,RP202600123,Workshop,Customer-facing identifier.
GLOSS-REP-000004,Repair Status,Current operational status of repair.,Repair,Operational,Derived,Dynamic,Repair Order,Repair Progress,,In Progress,Derived,Workflow.
GLOSS-REP-000005,Repair Type,Classification of repair.,Repair,Classification,Core,Stable,Repair Order,,Repair Type,Collision Repair,Business,References Repair Type Master.
GLOSS-REP-000006,Repair Category,Business classification of repair.,Repair,Classification,Core,Stable,Repair Order,,Category,Body Repair,Business,Supports analytics.
GLOSS-REP-000007,Repair Creation Date,Date on which repair order was created.,Repair,Operational,Core,Stable,Repair Order,,Creation Date,2026-08-15,Business,Operational timestamp.
GLOSS-REP-000008,Repair Priority,Business priority assigned to repair.,Repair,Classification,Derived,Computed,Repair Order,Repair Severity,,High,Derived,Supports scheduling.
GLOSS-REP-000009,Repair Source,Source responsible for repair initiation.,Repair,Operational,Core,Stable,Repair Order,,Source,Approved Claim,Business,Workflow origin.
GLOSS-REP-000010,Repair Summary,Simplified explanation of repair order.,Repair,Derived,Derived,Computed,Repair Order,Repair Type,,Collision repair approved.,Derived,AI explanation.
GLOSS-REP-000011,Repair Workshop,Represents an authorized repair workshop.,Repair,Identity,Core,Stable,Repair Order,,Garage,Authorized Workshop,Business,Parent concept.
GLOSS-REP-000012,Workshop Identifier,Unique identifier assigned to workshop.,Repair,Identity,Core,Stable,Repair Workshop,,Workshop ID,WS-100001,Platform,Primary identifier.
GLOSS-REP-000013,Workshop Name,Official business name of workshop.,Repair,Identity,Core,Stable,Repair Workshop,,Garage Name,ABC Motors,Business,Customer-facing.
GLOSS-REP-000014,Workshop Type,Classification of workshop.,Repair,Classification,Core,Stable,Repair Workshop,,Workshop Type,Authorized Dealer,Business,References Workshop Type Master.
GLOSS-REP-000015,Workshop Location,Primary operating location.,Repair,Reference,Core,Stable,Repair Workshop,,Location,Pune,Business,Operational.
GLOSS-REP-000016,OEM Authorization,Indicates whether workshop is OEM authorized.,Repair,Operational,Core,Stable,Repair Workshop,,OEM Approved,True,Business,Quality indicator.
