schema_id,entity_id,attribute_name,business_definition,data_type,required,derived,derived_from,default_value,validation_rule,reference_catalog,collection_source,privacy_class,example_value,ai_importance,remarks
SCH-POL-000001,ENT-POL-000001,policy_identifier,Unique business identifier assigned to the issued policy.,Identifier,Yes,No,,,Required;Unique,,Internal System,Internal,POL-100001,Critical,
SCH-POL-000002,ENT-POL-000001,policy_number,Official policy number issued by the insurer.,String,Yes,No,,,Required;Unique,,Insurance Company,Internal,2311000001234,Critical,
SCH-POL-000003,ENT-POL-000001,policy_type,Classification of the issued policy.,Enumeration,Yes,No,,,Reference Integrity,Policy Type Master,Insurance Company,Internal,Comprehensive,Critical,
SCH-POL-000004,ENT-POL-000001,policy_status,Current operational status of the policy.,Enumeration,Yes,Yes,lifecycle_status,,Reference Integrity,Workflow Status Master,Derived,Internal,Active,Critical,
SCH-POL-000005,ENT-POL-000001,policy_effective_date,Date on which policy coverage begins.,Date,Yes,No,,,ISO Date,,Insurance Company,Internal,2026-07-01,Critical,
SCH-POL-000006,ENT-POL-000001,policy_expiry_date,Date on which policy coverage expires.,Date,Yes,No,,,ISO Date,,Insurance Company,Internal,2027-06-30,Critical,
SCH-POL-000007,ENT-POL-000001,policy_duration,Duration of policy validity in days.,Integer,Yes,Yes,policy_effective_date;policy_expiry_date,,Positive Number,,Derived,Internal,365,High,
SCH-POL-000008,ENT-POL-000001,policy_version,Current policy version after endorsements.,String,Yes,No,,,Required,,Internal System,Internal,1.0,Medium,
SCH-POL-000009,ENT-POL-000001,policy_summary,Simplified explanation of the issued policy.,Text,Yes,Yes,policy_type,,Domain Constraint,,Derived,Public,Comprehensive private car insurance.,Medium,
SCH-POL-000010,ENT-POL-000002,customer_identifier,Reference to the canonical customer.,Identifier,Yes,No,,,Reference Integrity,Customer Identifier Master,Customer,Internal,CUST-100001,Critical,
SCH-POL-000011,ENT-POL-000002,policy_holder_name,Legal name of the policyholder.,String,Yes,No,,,Required,,Customer,Confidential,Rahul Sharma,High,
SCH-POL-000012,ENT-POL-000002,policy_holder_type,Classification of policyholder.,Enumeration,Yes,No,,,Reference Integrity,Customer Type Master,Customer,Internal,Individual,Medium,
SCH-POL-000013,ENT-POL-000002,primary_contact,Primary communication channel for servicing.,String,Yes,No,,,Phone Number,,Customer,Restricted,+91XXXXXXXXXX,Medium,
SCH-POL-000014,ENT-POL-000002,communication_preference,Preferred communication method.,Enumeration,No,No,,,Reference Integrity,Communication Preference Master,Customer,Internal,WhatsApp,Low,
SCH-POL-000015,ENT-POL-000002,kyc_verification_status,KYC verification status of the policyholder.,Boolean,Yes,Yes,kyc_documents,,Domain Constraint,,Derived,Internal,True,Critical,
SCH-POL-000016,ENT-POL-000002,policy_holder_relationship,Relationship between policyholder and insured asset.,Enumeration,Yes,No,,,Reference Integrity,Relationship Master,Business,Internal,Owner,Medium,
SCH-POL-000017,ENT-POL-000002,nominee_available,Indicates whether a nominee has been specified.,Boolean,No,No,,,,,Customer,Internal,False,Low,
SCH-POL-000018,ENT-POL-000002,policy_holder_summary,Simplified explanation of the policyholder.,Text,Yes,Yes,customer_profile,,Domain Constraint,,Derived,Public,Verified customer.,Low,
SCH-POL-000019,ENT-POL-000003,vehicle_identifier,Reference to the canonical vehicle.,Identifier,Yes,No,,,Reference Integrity,Vehicle Identifier Master,Vehicle,Internal,VEH-100001,Critical,
SCH-POL-000020,ENT-POL-000003,registration_number,Vehicle registration number.,String,Yes,No,,,Registration Number,,Vehicle,Public,MH12AB1234,Critical,
SCH-POL-000021,ENT-POL-000003,vehicle_category,Category of insured vehicle.,Enumeration,Yes,No,,,Reference Integrity,Vehicle Category Master,Vehicle,Internal,Private Car,High,
SCH-POL-000022,ENT-POL-000003,vehicle_make,Manufacturer of insured vehicle.,String,Yes,No,,,Required,,Vehicle,Public,Tata Motors,Medium,
SCH-POL-000023,ENT-POL-000003,vehicle_model,Model of insured vehicle.,String,Yes,No,,,Required,,Vehicle,Public,Nexon,Medium,
SCH-POL-000024,ENT-POL-000003,insured_declared_value,Declared insured value of the vehicle.,Decimal,Yes,No,,,Positive Number,,Business,Confidential,850000,Critical,
SCH-POL-000025,ENT-POL-000003,vehicle_usage,Declared usage category.,Enumeration,Yes,No,,,Reference Integrity,Vehicle Usage Master,Vehicle,Internal,Private,High,
SCH-POL-000026,ENT-POL-000003,garaging_location,Primary garaging location.,String,No,No,,,,,Customer,Internal,Pune,Medium,
SCH-POL-000027,ENT-POL-000003,policy_vehicle_summary,Simplified explanation of the insured vehicle.,Text,Yes,Yes,vehicle_profile,,Domain Constraint,,Derived,Public,Private Tata Nexon.,Low,
SCH-POL-000028,ENT-POL-000004,driver_identifier,Reference to the canonical driver.,Identifier,Yes,No,,,Reference Integrity,Driver Identifier Master,Driver,Internal,DRV-100001,Critical,
SCH-POL-000029,ENT-POL-000004,primary_driver_indicator,Indicates whether this is the primary insured driver.,Boolean,Yes,No,,,,,Business,Internal,True,High,
SCH-POL-000030,ENT-POL-000004,driver_relationship,Relationship of driver to policyholder.,Enumeration,Yes,No,,,Reference Integrity,Relationship Master,Business,Internal,Self,Medium,
SCH-POL-000031,ENT-POL-000004,licence_verification_status,Driving licence verification status.,Boolean,Yes,Yes,licence_documents,,Domain Constraint,,Derived,Internal,True,Critical,
SCH-POL-000032,ENT-POL-000004,driver_eligibility,Eligibility of driver under underwriting rules.,Boolean,Yes,Yes,driver_profile,,Domain Constraint,,Derived,Internal,True,Critical,
SCH-POL-000033,ENT-POL-000004,declared_driver_count,Number of declared drivers covered by the policy.,Integer,Yes,Yes,driver_list,,Positive Number,,Derived,Internal,1,Medium,
SCH-POL-000034,ENT-POL-000004,young_driver_indicator,Indicates presence of young driver risk.,Boolean,Yes,Yes,driver_age,,Domain Constraint,,Derived,Internal,False,Medium,
SCH-POL-000035,ENT-POL-000004,high_risk_driver_indicator,Indicates presence of high-risk driver characteristics.,Boolean,Yes,Yes,driver_assessment,,Domain Constraint,,Derived,Internal,False,High,
SCH-POL-000036,ENT-POL-000004,policy_driver_summary,Simplified explanation of insured driver.,Text,Yes,Yes,driver_profile,,Domain Constraint,,Derived,Public,Verified experienced driver.,Low,
